item_type,model,feature_key,feature_label,coef_value,ci_low_value,ci_high_value,n,coef_rank,ci_low_rank,ci_high_rank,sign_value,sign_rank,sign_flip
Individual papers,GPT-4.1 Mini,biology_share,Biology Journals,0.0002006413090693,-0.0019199803279176,0.0022894252867546,2011,-0.0029838338421711835,-0.016649372629273587,0.008081594126392751,1,-1,True
Individual papers,GPT-4.1 Mini,economics_share,Economics Journals,-0.0076338813073381,-0.01078637633384,-0.0048701459530761,2011,-0.040773913716538226,-0.055245055648788594,-0.028099610725475,-1,-1,False
Individual papers,GPT-4.1 Mini,psychology_share,Psychology Journals,0.0009676806057343,-0.0015889551894331,0.0033333784909022,2011,0.0011947934214856498,-0.013546101019444966,0.014643474795078043,1,1,False
Individual papers,GPT-4.1 Mini,mathphysics_share,Math/Physics Journals,-0.0008508479180484,-0.0036413849751641,0.0015086640392648,2011,-0.006174378419642292,-0.02340963577629746,0.007395595499271049,-1,-1,False
Individual papers,GPT-4.1 Mini,multidisciplinary_share,Multidisciplinary Journals,-0.000914319474729,-0.0039563574771813,0.0013973649666304,2011,-0.007805279567514829,-0.023484489105699512,0.005309764447275352,-1,-1,False
Individual papers,GPT-5.1,journal_impact,Journal Impact Factor,0.0048449934704259,0.0010324170591348,0.0078964461037136,2009,0.01638963154235541,0.0012501376716182806,0.031383575316397926,1,1,False
Individual papers,GPT-5.1,citation,Citation,-0.0068440567699734,-0.0110779312011734,-0.0027166832728315,2009,-0.032024578592691304,-0.0540483222484224,-0.017440679298176522,-1,-1,False
Individual papers,GPT-5.1,empirical_share,Empirical papers,-0.0092733506551624,-0.0131909112881514,-0.0053759475641293,2009,-0.04234073459237527,-0.05935203551211728,-0.027849976930405307,-1,-1,False
Individual papers,GPT-5.1,recent,Publication Year,-0.0043130864523722,-0.0080343301851197,-0.0004599958533585,2009,-0.02705048287084715,-0.04460391136571418,-0.01133819873588309,-1,-1,False
Individual papers,GPT-5.1,biology_share,Biology Journals,0.0019064434224902,-0.0006419224064824,0.0046150169280332,2009,0.006320237127516478,-0.005552478287927706,0.01814273705167062,1,1,False
Individual papers,GPT-5.1,economics_share,Economics Journals,0.0016831201086383,-0.0017756034076192,0.0052441672639192,2009,0.011122067213431607,-0.0032992253168860975,0.025128109148301023,1,1,False
Individual papers,GPT-5.1,psychology_share,Psychology Journals,-0.001621131454938,-0.0046083799231765,0.0011785261844965,2009,-0.009765920016610509,-0.02286415203357223,0.0038814634708625785,-1,-1,False
Individual papers,GPT-5.1,mathphysics_share,Math/Physics Journals,-0.0037795874335664,-0.0066640108026419,-0.0003886859401486,2009,-0.021490902320940284,-0.037095000488472855,-0.0070120062009408485,-1,-1,False
Individual papers,GPT-5.1,multidisciplinary_share,Multidisciplinary Journals,-0.0022382079930454,-0.0055159048341494,0.0011196828418358,2009,-0.012432837467185345,-0.02801856445002384,0.0015845714851918417,-1,-1,False
Individual papers,GPT-5 Mini,journal_impact,Journal Impact Factor,0.0008221328853323,-0.0021920631671951,0.004066145574936,2008,0.00649762213805492,-0.006721907492923483,0.02080297495732932,1,1,False
Individual papers,GPT-5 Mini,citation,Citation,-0.0020688483514721,-0.0053757422240257,0.0006525977252826,2008,-0.015581845045902445,-0.035521443077692366,-0.0012832148613160282,-1,-1,False
Individual papers,GPT-5 Mini,empirical_share,Empirical papers,-0.0117884645365174,-0.0146962728612122,-0.0078309990663937,2008,-0.07657013625257163,-0.09428974762813574,-0.06288477748157467,-1,-1,False
Individual papers,GPT-5 Mini,recent,Publication Year,-0.0018115813143301,-0.0047555513362363,0.001247967808124,2008,-0.02007477465384417,-0.039207069459688326,-0.004226940025074337,-1,-1,False
Individual papers,GPT-5 Mini,biology_share,Biology Journals,0.0022963766379547,3.5715640220250694e-05,0.0042300053100171,2008,0.008313956732104014,-0.004777303856031849,0.01950003979780203,1,1,False
Individual papers,GPT-5 Mini,economics_share,Economics Journals,-0.0024843514019984,-0.005839927491013,0.0008807503661214,2008,-0.01385346247414316,-0.029845715470038697,0.0022333626236081122,-1,-1,False
Individual papers,GPT-5 Mini,psychology_share,Psychology Journals,0.0018229750004575,-0.0009719394329022,0.004371293932351,2008,0.009047490903831213,-0.004870947495394513,0.021193782143856695,1,1,False
Individual papers,GPT-5 Mini,mathphysics_share,Math/Physics Journals,-0.0028047105145671,-0.0057917682485662,0.0001528395909823,2008,-0.023302081777855425,-0.04041421840154961,-0.009101534373410956,-1,-1,False
Individual papers,GPT-5 Mini,multidisciplinary_share,Multidisciplinary Journals,0.0002285559269281,-0.0027150540369988,0.0025071089660408,2008,-0.0021865606170188324,-0.018743656922170664,0.00989014423802195,1,-1,True
Individual papers,GPT-5 Nano,journal_impact,Journal Impact Factor,-9.66049102017162e-05,-0.0025123602743961,0.0036039405742851,2005,0.0024102793689425397,-0.010722553779459762,0.020057817597530298,-1,1,True
Individual papers,GPT-5 Nano,citation,Citation,-0.0032935034370714,-0.0078381507115335,-0.0007794993183099,2005,-0.020216783164889975,-0.03758263942301634,-0.004119318165406767,-1,-1,False
Individual papers,GPT-5 Nano,empirical_share,Empirical papers,-0.0070271286569599,-0.0112131602007518,-0.0042973256350433,2005,-0.058173879092761796,-0.07484933298342401,-0.04220988722967217,-1,-1,False
Individual papers,GPT-5 Nano,recent,Publication Year,-0.0044347821811336,-0.0081045997261514,-0.0017157959097095,2005,-0.026948031623660045,-0.04170494847961755,-0.012074218317413196,-1,-1,False
Individual papers,GPT-5 Nano,biology_share,Biology Journals,0.0019441057566027,-0.0004104018166165,0.0048322319813768,2005,0.009621220612111224,-0.003078441811528864,0.02169169196822562,1,1,False
Individual papers,GPT-5 Nano,economics_share,Economics Journals,-0.0008839320550769,-0.0038611526543618,0.0028372029638142,2005,0.0014903922630295052,-0.013695893790590767,0.016891068144506072,-1,1,True
Individual papers,GPT-5 Nano,psychology_share,Psychology Journals,0.0027349311416181,0.0003737304809234,0.0057977013196997,2005,0.014257549915277,3.2283120479862255e-05,0.027378444160340056,1,1,False
