model,source_id,correlation,baseline_correlation
Claude Sonnet 4.6,10.1017_ehs.2024.18,0.6174643039703369,0.639323353767395
Claude Sonnet 4.6,10.1016_j.euroecorev.2014.11.009,0.6176403760910034,0.639323353767395
Claude Sonnet 4.6,10.1155_2021_6192629,0.6177756786346436,0.639323353767395
Claude Sonnet 4.6,10.1016_j.chaos.2019.109422,0.6179289817810059,0.639323353767395
Claude Sonnet 4.6,10.1371_journal.pone.0054308,0.6180368661880493,0.639323353767395
Claude Sonnet 4.6,10.1016_j.chaos.2024.115693,0.6181123852729797,0.639323353767395
Claude Sonnet 4.6,10.1016_j.amc.2025.129397,0.6181164383888245,0.639323353767395
Claude Sonnet 4.6,10.1155_2014_108024,0.6183238625526428,0.639323353767395
Claude Sonnet 4.6,10.1016_j.chaos.2023.114011,0.6184197068214417,0.639323353767395
Claude Sonnet 4.6,10.1016_j.jebo.2025.106930,0.6185334920883179,0.639323353767395
Claude Sonnet 4.6,10.3934_mbe.2023233,0.6185536980628967,0.639323353767395
Claude Sonnet 4.6,10.1016_j.envsci.2014.05.006,0.6186935901641846,0.639323353767395
Claude Sonnet 4.6,10.1177_0190272517703750,0.6188237071037292,0.639323353767395
Claude Sonnet 4.6,10.1126_science.1153808,0.6189173460006714,0.639323353767395
Claude Sonnet 4.6,10.1098_rspb.2021.2174,0.6190115213394165,0.639323353767395
Claude Sonnet 4.6,10.1257_aer.90.4.980,0.6191992163658142,0.639323353767395
Claude Sonnet 4.6,10.1016_j.jebo.2008.02.006,0.6195039749145508,0.639323353767395
Claude Sonnet 4.6,10.1257_000282803321455359,0.6195522546768188,0.639323353767395
Claude Sonnet 4.6,10.1257_aer.20120700,0.6196776628494263,0.639323353767395
Claude Sonnet 4.6,10.1016_j.socec.2023.102127,0.6197570562362671,0.639323353767395
Claude Sonnet 4.6,10.1098_rstb.2020.0300,0.6198286414146423,0.639323353767395
Claude Sonnet 4.6,10.1038_ncomms6306,0.619848906993866,0.639323353767395
Claude Sonnet 4.6,10.1177_0022002708322361,0.6199500560760498,0.639323353767395
Claude Sonnet 4.6,10.1080_13504851.2022.2156458,0.6201643347740173,0.639323353767395
Claude Sonnet 4.6,10.1111_ecoj.12088,0.6203008890151978,0.639323353767395
Claude Sonnet 4.6,10.1111_jels.12042,0.6203502416610718,0.639323353767395
Claude Sonnet 4.6,10.3389_fpsyg.2019.00651,0.6203899383544922,0.639323353767395
Claude Sonnet 4.6,10.1111_ecoj.12209,0.6204811334609985,0.639323353767395
Claude Sonnet 4.6,10.1016_j.jtbi.2019.05.019,0.6204965710639954,0.639323353767395
Claude Sonnet 4.6,10.1017_s0266267110000374,0.6206219792366028,0.639323353767395
Claude Sonnet 4.6,10.1371_journal.pone.0240324,0.6207379102706909,0.639323353767395
Claude Sonnet 4.6,10.1515_bejte-2024-0043,0.6208573579788208,0.639323353767395
Claude Sonnet 4.6,10.1016_j.econlet.2014.05.017,0.6209185719490051,0.639323353767395
Claude Sonnet 4.6,10.1098_rspa.2021.0397,0.620957612991333,0.639323353767395
Claude Sonnet 4.6,10.1111_j.1467-937X.2010.00608.x,0.6210394501686096,0.639323353767395
Claude Sonnet 4.6,10.1038_415424a,0.6211830377578735,0.639323353767395
Claude Sonnet 4.6,10.1016_j.jebo.2015.03.009,0.621200680732727,0.639323353767395
Claude Sonnet 4.6,10.1016_j.joep.2012.12.003,0.6212977170944214,0.639323353767395
Claude Sonnet 4.6,10.1016_j.jpubeco.2021.104429,0.6213241219520569,0.639323353767395
Claude Sonnet 4.6,10.1016_j.joep.2022.102484,0.6216747164726257,0.639323353767395
Claude Sonnet 4.6,10.1371_journal.pone.0068423,0.6216791868209839,0.639323353767395
Claude Sonnet 4.6,10.1016_j.jebo.2015.03.018,0.6218367218971252,0.639323353767395
Claude Sonnet 4.6,10.1002_per.830,0.6218527555465698,0.639323353767395
Claude Sonnet 4.6,10.1080_17419166.2020.1756264,0.6220240592956543,0.639323353767395
