model,variant_id,variant_label,family,n_matching_variants,mean_correlation,median_correlation,sd_correlation,mean_count,variant_order,baseline_correlation_mean30,delta_vs_baseline_mean30
GPT-5.1,citation_q1_lowest,Lowest citation,citation,106,0.5655167521733158,0.5664524435997009,0.06372083798314013,77.18867924528301,3,0.6526169304695438,-0.08710017829622807
GPT-5.1,citation_q2,Citation Q2,citation,104,0.5553774988422027,0.5541165769100189,0.07840661358767129,76.09615384615384,4,0.6526169304695438,-0.09723943162734117
GPT-5.1,citation_q3,Citation Q3,citation,104,0.5237118555949285,0.5301923751831055,0.07801190580678265,77.70192307692308,5,0.6526169304695438,-0.12890507487461533
GPT-5.1,citation_q4_highest,Highest citation,citation,93,0.5484085643804202,0.5624813437461853,0.06986040194253539,84.18279569892474,6,0.6526169304695438,-0.10420836608912365
GPT-5.1,jcr_q1,JIF Q1,jcr,109,0.5669080606841166,0.5710092186927795,0.05745392010214462,150.9908256880734,7,0.6526169304695438,-0.08570886978542724
GPT-5.1,jcr_q2,JIF Q2,jcr,104,0.5448813621814435,0.552818089723587,0.06624355817663573,81.97115384615384,8,0.6526169304695438,-0.10773556828810038
GPT-5.1,jcr_q3,JIF Q3,jcr,94,0.5634922496181853,0.557286262512207,0.08996437920786746,52.95744680851064,9,0.6526169304695438,-0.0891246808513585
GPT-5.1,jcr_q4,JIF Q4,jcr,82,0.5241573064065561,0.5407370328903198,0.09362586972064266,16.9390243902439,10,0.6526169304695438,-0.12845962406298772
GPT-5.1,year_q1_oldest,Oldest,year,103,0.5468069505923002,0.5511718392372131,0.06734855877058221,79.89320388349515,11,0.6526169304695438,-0.10580997987724361
GPT-5.1,year_q2,Year Q2,year,105,0.5624771708533878,0.5703577995300293,0.09341784403339017,81.52380952380952,12,0.6526169304695438,-0.09013975961615606
GPT-5.1,year_q3,Year Q3,year,103,0.5452681794328597,0.5407034158706665,0.06361370084716243,73.30097087378641,13,0.6526169304695438,-0.10734875103668418
GPT-5.1,year_q4_newest,Newest,year,96,0.5325437253341079,0.5353903472423553,0.05947207306078891,79.84375,14,0.6526169304695438,-0.12007320513543596
GPT-5.1,discipline_bio_evo,Biology,discipline,84,0.5621852594472113,0.5545141994953156,0.06632661000927324,56.07142857142857,15,0.6526169304695438,-0.09043167102233252
GPT-5.1,discipline_economics,Economics,discipline,86,0.5474511745364167,0.5529368221759796,0.07505885993388191,92.52325581395348,16,0.6526169304695438,-0.10516575593312716
GPT-5.1,discipline_math_phys_cs,Math/physics,discipline,87,0.517700602610906,0.5221611261367798,0.0837095092755883,100.67816091954023,17,0.6526169304695438,-0.13491632785863783
GPT-5.1,discipline_multidisciplinary,Multidisciplinary,discipline,63,0.534969805725037,0.5489280819892883,0.06615305776109341,81.28571428571429,18,0.6526169304695438,-0.11764712474450678
GPT-5.1,discipline_other,Other,discipline,71,0.5671521144014009,0.5778705477714539,0.0712805315329342,17.04225352112676,19,0.6526169304695438,-0.08546481606814293
GPT-5.1,discipline_psych_social,Psychology,discipline,87,0.560443510611852,0.5716865658760071,0.0817856249592268,92.2183908045977,20,0.6526169304695438,-0.09217341985769179
Gemini 2.5 Pro,broad_all_2011,Everything,all,5,0.39040151194208256,0.39040151194208256,0.0,2011.0,0,0.3993819997213735,-0.008980487779290947
Gemini 2.5 Pro,type_empirical,Empirical only,type,133,0.4959673092217374,0.5224498510360718,0.11624511865796117,117.42857142857143,1,0.3993819997213735,0.09658530950036387
Gemini 2.5 Pro,type_theoretical,Non-empirical only,type,137,0.5282512324569869,0.5430551767349243,0.06399801195975648,121.05839416058394,2,0.3993819997213735,0.1288692327356134
Gemini 2.5 Pro,citation_q1_lowest,Lowest citation,citation,106,0.5191568366761478,0.5263842940330505,0.07700869561259106,77.18867924528301,3,0.3993819997213735,0.11977483695477426
Gemini 2.5 Pro,citation_q2,Citation Q2,citation,104,0.5325240800873592,0.5408276915550232,0.08153826167339533,76.09615384615384,4,0.3993819997213735,0.13314208036598568
Gemini 2.5 Pro,citation_q3,Citation Q3,citation,104,0.49614426049475485,0.530870795249939,0.10972238712951683,77.70192307692308,5,0.3993819997213735,0.09676226077338135
Gemini 2.5 Pro,citation_q4_highest,Highest citation,citation,93,0.4854170813034939,0.5169685482978821,0.11822014566741103,84.18279569892474,6,0.3993819997213735,0.08603508158212042
Gemini 2.5 Pro,jcr_q1,JIF Q1,jcr,109,0.5221846407159753,0.5392739176750183,0.08547971353515633,150.9908256880734,7,0.3993819997213735,0.12280264099460175
Gemini 2.5 Pro,jcr_q2,JIF Q2,jcr,104,0.5071545843608104,0.5147849321365356,0.08487267426120726,81.97115384615384,8,0.3993819997213735,0.1077725846394369
Gemini 2.5 Pro,jcr_q3,JIF Q3,jcr,94,0.5055511510594094,0.5211749374866486,0.12637057719059966,52.95744680851064,9,0.3993819997213735,0.1061691513380359
Gemini 2.5 Pro,jcr_q4,JIF Q4,jcr,82,0.48587386964297874,0.531028687953949,0.11618787005819226,16.9390243902439,10,0.3993819997213735,0.08649186992160524
Gemini 2.5 Pro,year_q1_oldest,Oldest,year,103,0.4900449638083143,0.5123471617698669,0.10816154399057923,79.89320388349515,11,0.3993819997213735,0.0906629640869408
Gemini 2.5 Pro,year_q2,Year Q2,year,105,0.5154373004322961,0.5466250777244568,0.12577382092472694,81.52380952380952,12,0.3993819997213735,0.11605530071092257
Gemini 2.5 Pro,year_q3,Year Q3,year,103,0.527480337804961,0.5356627702713013,0.0636083296230743,73.30097087378641,13,0.3993819997213735,0.12809833808358745
Gemini 2.5 Pro,year_q4_newest,Newest,year,96,0.5207790695130825,0.5278055369853973,0.06224192203276929,79.84375,14,0.3993819997213735,0.121397069791709
Gemini 2.5 Pro,discipline_bio_evo,Biology,discipline,84,0.5520892450142474,0.5553358495235443,0.07931832636777679,56.07142857142857,15,0.3993819997213735,0.15270724529287388
Gemini 2.5 Pro,discipline_economics,Economics,discipline,86,0.5033406275649404,0.512329488992691,0.09259875729874058,92.52325581395348,16,0.3993819997213735,0.10395862784356685
Gemini 2.5 Pro,discipline_math_phys_cs,Math/physics,discipline,87,0.48077792699994715,0.4917601943016052,0.1005704685005671,100.67816091954023,17,0.3993819997213735,0.08139592727857364
Gemini 2.5 Pro,discipline_multidisciplinary,Multidisciplinary,discipline,63,0.5304954146581983,0.5491161346435547,0.07177956126016141,81.28571428571429,18,0.3993819997213735,0.13111341493682477
Gemini 2.5 Pro,discipline_other,Other,discipline,71,0.5041203211310884,0.5299514532089233,0.09375009474938066,17.04225352112676,19,0.3993819997213735,0.1047383214097149
Gemini 2.5 Pro,discipline_psych_social,Psychology,discipline,87,0.5226795080749468,0.5330813527107239,0.09489768626921873,92.2183908045977,20,0.3993819997213735,0.12329750835357328
