model,variant_id,variant_label,family,count,correlation,n_aug_runs,variant_order,baseline_correlation_mean30,delta_vs_baseline_mean30
GPT-5.1,year_q2,Year Q2,year,743.0,0.6214578151702881,5,12,0.6526169304695438,-0.031159115299255746
GPT-5.1,year_q3,Year Q3,year,650.0,0.5650140643119812,5,13,0.6526169304695438,-0.08760286615756263
GPT-5.1,year_q4_newest,Newest,year,658.0,0.6337351202964783,5,14,0.6526169304695438,-0.01888181017306556
GPT-5.1,discipline_bio_evo,Biology,discipline,432.0,0.5434574484825134,5,15,0.6526169304695438,-0.1091594819870304
GPT-5.1,discipline_economics,Economics,discipline,730.0,0.6021048426628113,5,16,0.6526169304695438,-0.05051208780673255
GPT-5.1,discipline_math_phys_cs,Math/physics,discipline,805.0,0.4760635197162628,5,17,0.6526169304695438,-0.17655341075328101
GPT-5.1,discipline_multidisciplinary,Multidisciplinary,discipline,470.0,0.5305845141410828,5,18,0.6526169304695438,-0.12203241632846107
GPT-5.1,discipline_other,Other,discipline,193.0,0.6415532827377319,5,19,0.6526169304695438,-0.011063647731811899
GPT-5.1,discipline_psych_social,Psychology,discipline,737.0,0.5952649116516113,5,20,0.6526169304695438,-0.057352018817932504
Gemini 2.5 Pro,broad_all_2011,Everything,all,2011.0,0.39040151194208256,5,0,0.3993819997213735,-0.008980487779290947
Gemini 2.5 Pro,type_empirical,Empirical only,type,1405.0,0.5468246340751648,5,1,0.3993819997213735,0.1474426343537913
Gemini 2.5 Pro,type_theoretical,Non-empirical only,type,1445.0,0.4761290252208709,5,2,0.3993819997213735,0.07674702549949741
Gemini 2.5 Pro,citation_q1_lowest,Lowest citation,citation,698.0,0.5061319470405579,5,3,0.3993819997213735,0.10674994731918436
Gemini 2.5 Pro,citation_q2,Citation Q2,citation,681.0,0.5652542114257812,5,4,0.3993819997213735,0.16587221170440775
Gemini 2.5 Pro,citation_q3,Citation Q3,citation,693.0,0.615297257900238,5,5,0.3993819997213735,0.21591525817886453
Gemini 2.5 Pro,citation_q4_highest,Highest citation,citation,684.0,0.5169685482978821,5,6,0.3993819997213735,0.11758654857650858
Gemini 2.5 Pro,jcr_q1,JIF Q1,jcr,1442.0,0.5585219264030457,5,7,0.3993819997213735,0.15913992668167215
Gemini 2.5 Pro,jcr_q2,JIF Q2,jcr,738.0,0.4870197176933288,5,8,0.3993819997213735,0.0876377179719553
Gemini 2.5 Pro,jcr_q3,JIF Q3,jcr,398.0,0.4285556375980377,5,9,0.3993819997213735,0.029173637876664216
Gemini 2.5 Pro,jcr_q4,JIF Q4,jcr,89.0,0.4636930525302887,5,10,0.3993819997213735,0.06431105280891519
Gemini 2.5 Pro,year_q1_oldest,Oldest,year,705.0,0.4280831217765808,5,11,0.3993819997213735,0.028701122055207307
Gemini 2.5 Pro,year_q2,Year Q2,year,743.0,0.6059143543243408,5,12,0.3993819997213735,0.20653235460296732
Gemini 2.5 Pro,year_q3,Year Q3,year,650.0,0.3871777653694153,5,13,0.3993819997213735,-0.01220423435195822
Gemini 2.5 Pro,year_q4_newest,Newest,year,658.0,0.4791001677513122,5,14,0.3993819997213735,0.0797181680299387
Gemini 2.5 Pro,discipline_bio_evo,Biology,discipline,432.0,0.5373323559761047,5,15,0.3993819997213735,0.13795035625473123
Gemini 2.5 Pro,discipline_economics,Economics,discipline,730.0,0.5020221471786499,5,16,0.3993819997213735,0.1026401474572764
Gemini 2.5 Pro,discipline_math_phys_cs,Math/physics,discipline,805.0,0.3554070293903351,5,17,0.3993819997213735,-0.04397497033103842
Gemini 2.5 Pro,discipline_multidisciplinary,Multidisciplinary,discipline,470.0,0.5526866912841797,5,18,0.3993819997213735,0.15330469156280618
Gemini 2.5 Pro,discipline_other,Other,discipline,193.0,0.5236865282058716,5,19,0.3993819997213735,0.12430452848449808
Gemini 2.5 Pro,discipline_psych_social,Psychology,discipline,737.0,0.4967455565929413,5,20,0.3993819997213735,0.09736355687156778
