custom_id,n_lab_rows,n_reported_params,n_varied_params
10.1016_j.jebo.2008.02.006,3,5,2
10.1016_j.jebo.2023.11.003,3,6,2
10.1037_npe0000045,3,6,2
10.1111_ecoj.12614,3,5,2
10.1142_s021759082246002x,3,8,2
10.1098_rstb.2020.0304,2,4,2
10.1371_journal.pone.0045662,2,5,2
10.1177_1368430208098783,18,7,1
10.1111_eth.12223,16,3,1
10.1016_j.anbehav.2016.01.010,14,3,1
10.1007_s11127-010-9665-y,12,5,1
10.1016_j.jecp.2022.105376,12,4,1
10.1037_npe0000169,12,5,1
10.1038_s41598-017-12490-5,12,7,1
10.1177_0190272513518803,12,5,1
10.1063_5.0147226,11,6,1
10.1002_bdm.1976,10,12,1
10.1002_bdm.2110,10,5,1
10.1016_j.geb.2025.01.011,10,7,1
10.1093_ajae_aay025,10,6,1
10.1016_j.jebo.2020.07.031,9,4,1
10.1016_j.jpubeco.2016.09.008,9,6,1
10.1111_ecoj.12088,9,3,1
10.2307_1964229,9,5,1
10.1002_soej.12391,8,5,1
10.1016_j.ejpoleco.2022.102354,8,11,1
10.1016_j.euroecorev.2024.104682,8,7,1
10.1016_j.jebo.2015.03.018,8,5,1
10.1016_j.jebo.2015.09.020,8,8,1
10.1016_j.jebo.2018.11.013,8,6,1
10.1016_j.jesp.2019.103823,8,3,1
10.1016_j.socec.2016.04.009,8,6,1
10.1016_j.socec.2016.08.008,8,5,1
10.1017_s1355770x12000381,8,5,1
10.1038_s41467-017-00731-0,8,1,1
10.1038_s41467-020-14712-3,8,3,1
10.1038_s41598-020-65516-w,8,6,1
10.1038_srep10321,8,6,1
10.1093_ej_uead005,8,5,1
10.1093_jleo_ewq015,8,5,1
10.1093_jleo_ewy026,8,6,1
10.1287_mnsc.1110.1466,8,5,1
10.1287_mnsc.2015.2168,8,1,1
10.1371_journal.pone.0040325,8,7,1
10.1371_journal.pone.0236544,8,4,1
10.3389_fpsyg.2022.794953,8,5,1
10.1016_j.euroecorev.2014.11.009,7,7,1
10.1016_j.jebo.2005.04.018,7,11,1
10.1016_j.jesp.2015.04.005,7,3,1
10.1016_j.jpubeco.2012.08.003,7,6,1
10.1037_a0011381,7,7,1
10.1037_xge0001004,7,7,1
10.1073_pnas.93.23.13421,7,3,1
10.1093_restud_rdv040,7,5,1
10.1177_0022002712448910,7,5,1
10.1006_game.1998.0638,6,2,1
10.1007_978-3-642-13983-3_11,6,3,1
10.1007_s11127-021-00925-7,6,4,1
10.1016_j.ejpoleco.2013.11.005,6,7,1
10.1016_j.euroecorev.2008.09.007,6,7,1
10.1016_j.euroecorev.2018.05.004,6,5,1
10.1016_j.evolhumbehav.2016.02.001,6,7,1
10.1016_j.evolhumbehav.2022.10.002,6,3,1
10.1016_j.irle.2014.03.001,6,7,1
10.1016_j.jebo.2017.06.006,6,7,1
10.1016_j.jebo.2021.05.003,6,5,1
10.1016_j.jebo.2024.02.009,6,5,1
10.1016_j.jebo.2025.107138,6,6,1
10.1016_j.jebo.2025.107207,6,6,1
10.1016_j.joep.2013.01.001,6,8,1
10.1016_j.joep.2023.102675,6,5,1
10.1016_j.jpubeco.2016.12.007,6,6,1
10.1016_j.socec.2018.03.007,6,9,1
10.1016_s1090-5138(04)00005-4,6,6,1
10.1037_xge0000018,6,7,1
10.1073_pnas.1315273111,6,6,1
10.1080_15534510.2012.729493,6,7,1
10.1086_691630,6,7,1
10.1093_aler_ahw005,6,5,1
10.1098_rspb.2012.0063,6,3,1
10.1098_rspb.2012.0937,6,7,1
10.1111_apce.12343,6,5,1
10.1111_j.1540-5907.2011.00531.x,6,6,1
10.1111_jels.12231,6,11,1
10.1111_jpet.12350,6,4,1
10.1177_0190272512442397,6,5,1
10.1257_aer.102.7.3317,6,8,1
10.1257_aer.99.1.431,6,1,1
10.1257_mic.3.4.77,6,4,1
10.1371_journal.pone.0064677,6,3,1
10.1371_journal.pone.0069871,6,6,1
10.1628_093245616x14500948554072,6,8,1
10.3390_g12020050,6,4,1
10.4284_sej.2010.76.3.638,6,10,1
10.1002_ejsp.506,5,3,1
10.1007_s00199-007-0212-0,5,7,1
10.1007_s10683-007-9171-3,5,7,1
10.1007_s10683-014-9405-0,5,5,1
10.1007_s11127-006-9075-3,5,6,1
10.1016_j.geb.2020.07.001,5,4,1
10.1016_j.jebo.2009.01.006,5,6,1
10.1016_j.jebo.2014.11.004,5,3,1
10.1016_j.jebo.2015.02.002,5,5,1
10.1016_j.jebo.2021.09.024,5,4,1
10.1073_pnas.1707505115,5,3,1
10.1111_ecin.13171,5,4,1
10.1111_j.1467-937X.2010.00608.x,5,7,1
10.1162_jeea.2005.3.2-3.303,5,5,1
10.1177_1043463107080449,5,5,1
10.1515_bejeap-2013-0110,5,5,1
10.1002_bdm.2273,4,3,1
10.1002_mde.4492,4,4,1
10.1002_soej.12487,4,6,1
10.1002_soej.12626,4,4,1
10.1007_s00265-004-0782-9,4,8,1
10.1007_s00355-020-01284-w,4,9,1
10.1007_s10683-010-9266-0,4,5,1
10.1007_s11238-016-9572-x,4,5,1
10.1007_s11238-022-09897-6,4,3,1
10.1007_s40888-022-00287-3,4,4,1
10.1016_j.actpsy.2020.103055,4,5,1
10.1016_j.actpsy.2024.104608,4,4,1
10.1016_j.econlet.2020.109155,4,7,1
10.1016_j.euroecorev.2012.05.003,4,7,1
10.1016_j.euroecorev.2017.07.013,4,8,1
10.1016_j.jebo.2019.05.033,4,7,1
10.1016_j.joep.2013.07.002,4,8,1
10.1016_j.jpubeco.2014.10.008,4,10,1
10.1016_j.jpubeco.2017.03.002,4,6,1
10.1016_j.leaqua.2019.101351,4,7,1
10.1016_j.socec.2019.02.006,4,4,1
10.1016_j.socec.2021.101692,4,6,1
10.1016_j.socec.2023.102034,4,6,1
10.1017_xps.2020.10,4,8,1
10.1023_a_1023952115422,4,7,1
10.1038_nature05229,4,7,1
10.1038_s41467-018-04775-8,4,5,1
10.1038_s41598-023-46944-w,4,3,1
10.1038_srep07843,4,4,1
10.1038_srep42844,4,7,1
10.1080_17565529.2016.1174664,4,7,1
10.1093_jleo_ewu019,4,7,1
10.1098_rspb.2011.0690,4,2,1
10.1098_rspb.2011.0805,4,4,1
10.1111_caje.12557,4,4,1
10.1111_j.1465-7295.2007.00051.x,4,8,1
10.1111_j.1465-7295.2011.00422.x,4,7,1
10.1111_jems.12451,4,3,1
10.1111_joes.12018,4,4,1
10.1111_vox.13088,4,2,1
10.1126_science.1177418,4,5,1
10.1177_0022002712448912,4,6,1
10.1177_0022002795039004006,4,4,1
10.1177_0190272517703750,4,10,1
10.1257_aer.99.4.1335,4,5,1
10.1371_journal.pone.0117183,4,6,1
10.1371_journal.pone.0155773,4,5,1
10.2147_prbm.S370155,4,3,1
10.3389_fnbeh.2016.00053,4,12,1
10.3389_fpsyg.2021.681664,4,5,1
10.3763_cpol.2010.0106,4,5,1
10.1006_game.1994.1035,3,3,1
10.1007_s00355-015-0884-5,3,6,1
10.1007_s10683-011-9281-9,3,6,1
10.1007_s10683-013-9354-z,3,5,1
10.1007_s11403-022-00363-8,3,6,1
10.1007_s11558-025-09594-3,3,9,1
10.1007_s12110-009-9072-6,3,3,1
10.1016_j.jebo.2014.03.005,3,4,1
10.1016_j.jebo.2018.01.009,3,5,1
10.1016_j.jpubeco.2011.05.001,3,5,1
10.1016_j.neuropsychologia.2007.11.033,3,2,1
10.1016_j.physleta.2020.126276,3,7,1
10.1037_dev0001183,3,3,1
10.1080_13504851.2011.572844,3,5,1
10.1098_rsbl.2013.1069,3,2,1
10.1108_01437720310502177,3,8,1
10.1111_j.1468-0297.2004.00214.x,3,4,1
10.1111_kykl.12113,3,4,1
10.1371_journal.pone.0045998,3,1,1
10.1371_journal.pone.0273014,3,8,1
10.1002_bdm.2208,2,5,1
10.1007_s00265-004-0885-3,2,6,1
10.1007_s10640-015-9879-z,2,7,1
10.1007_s10683-019-09629-8,2,6,1
10.1007_s11238-013-9356-5,2,6,1
10.1007_s40822-020-00144-3,2,6,1
10.1016_j.econlet.2009.08.024,2,3,1
10.1016_j.econlet.2012.08.014,2,3,1
10.1016_j.jebo.2013.08.006,2,11,1
10.1016_j.joep.2009.04.004,2,10,1
10.1016_j.obhdp.2018.07.001,2,8,1
10.1016_j.socec.2019.101465,2,3,1
10.1037_a0023489,2,4,1
10.1038_s41598-023-37286-8,2,5,1
10.1073_pnas.0502399102,2,8,1
10.1073_pnas.1320451111,2,5,1
10.1080_13504851.2022.2156458,2,7,1
10.1093_pnasnexus_pgad091,2,7,1
10.1108_tpm-03-2020-0021,2,5,1
10.1126_sciadv.1601444,2,6,1
10.1126_science.1123633,2,7,1
10.1126_science.1178883,2,5,1
10.1371_journal.pone.0125193,2,3,1
10.1016_j.obhdp.2009.01.004,16,4,0
10.1371_journal.pone.0061458,16,6,0
10.1523_jneurosci.0595-16.2016,16,4,0
10.1016_j.irle.2013.07.005,13,5,0
10.1007_s12144-024-06961-y,12,0,0
10.1073_pnas.2013744117,12,5,0
10.3389_fnhum.2013.00252,12,4,0
10.3390_bs13060456,12,3,0
10.1016_j.jebo.2011.01.018,10,4,0
10.1016_j.joep.2017.01.005,10,4,0
10.1038_srep06421,10,5,0
10.1038_srep28809,10,5,0
10.1126_sciadv.aau7296,10,5,0
10.1007_s40503-016-0035-0,9,7,0
10.1016_j.evolhumbehav.2008.01.001,9,3,0
10.1016_j.jebo.2015.03.005,9,5,0
10.1016_j.jebo.2016.09.012,9,5,0
10.1086_715442,9,4,0
10.1002_mde.2877,8,8,0
10.1007_s10058-012-0120-z,8,8,0
10.1007_s10683-019-09609-y,8,6,0
10.1007_s11127-016-0319-6,8,5,0
10.1016_j.euroecorev.2016.08.004,8,6,0
10.1016_j.evolhumbehav.2007.08.002,8,9,0
10.1016_j.geb.2012.10.001,8,5,0
10.1016_j.geb.2019.02.006,8,7,0
10.1016_j.jebo.2003.06.006,8,6,0
10.1016_j.jebo.2023.09.006,8,5,0
10.1016_j.jebo.2025.106991,8,6,0
10.1016_j.joep.2022.102484,8,5,0
10.1016_j.jpubeco.2009.03.004,8,5,0
10.1016_j.jtbi.2004.12.015,8,2,0
10.1016_j.leaqua.2021.101589,8,7,0
10.1017_s1744137416000527,8,5,0
10.1073_pnas.1605115113,8,5,0
10.1080_15534510802469156,8,7,0
10.1093_jleo_ewz004,8,7,0
10.1093_oep_gpv048,8,6,0
10.1093_oep_gpy045,8,5,0
10.1098_rspb.2013.0553,8,3,0
10.1111_ajsp.12057,8,6,0
10.1111_bjop.12245,8,3,0
10.1111_j.1559-1816.2012.00914.x,8,4,0
10.1111_jels.12042,8,6,0
10.1177_0022002714560349,8,6,0
10.1177_1368430211402102,8,8,0
10.1287_mnsc.2022.03085,8,3,0
10.1371_journal.pone.0188503,8,5,0
10.3200_socp.148.5.609-630,8,4,0
10.3389_fnins.2019.01160,8,5,0
10.3389_fpsyg.2019.00651,8,4,0
10.3389_fpsyg.2022.816168,8,6,0
10.1007_978-0-387-72596-3_8,7,6,0
10.1007_s11238-023-09929-9,7,5,0
10.1016_j.jebo.2017.01.006,7,2,0
10.1016_j.jebo.2019.12.007,7,7,0
10.1016_j.jesp.2005.03.002,7,5,0
10.1016_j.socec.2011.04.001,7,3,0
10.1016_j.socec.2016.03.005,7,7,0
10.1016_j.socec.2023.102121,7,5,0
10.1038_s41598-017-13918-8,7,10,0
10.1086_699547,7,2,0
10.3390_g11010005,7,5,0
10.1002_bdm.2012,6,7,0
10.1007_s001820050100,6,4,0
10.1007_s00355-018-1130-8,6,5,0
10.1007_s10551-011-0795-z,6,5,0
10.1007_s10551-025-05998-8,6,6,0
10.1007_s10640-025-00970-6,6,7,0
10.1007_s10683-014-9393-0,6,6,0
10.1007_s10683-014-9402-3,6,6,0
10.1007_s11846-016-0209-9,6,3,0
10.1016_j.actpsy.2023.103957,6,4,0
10.1016_j.amc.2024.128553,6,7,0
10.1016_j.euroecorev.2008.09.005,6,6,0
10.1016_j.euroecorev.2015.06.004,6,6,0
10.1016_j.euroecorev.2017.01.007,6,5,0
10.1016_j.euroecorev.2019.103346,6,5,0
10.1016_j.euroecorev.2024.104885,6,4,0
10.1016_j.evolhumbehav.2004.04.002,6,8,0
10.1016_j.geb.2014.01.002,6,9,0
10.1016_j.geb.2014.03.006,6,3,0
10.1016_j.geb.2017.02.007,6,2,0
10.1016_j.geb.2023.02.005,6,7,0
10.1016_j.jebo.2014.11.009,6,5,0
10.1016_j.jebo.2015.05.013,6,2,0
10.1016_j.jebo.2017.12.024,6,7,0
10.1016_j.jebo.2018.11.020,6,3,0
10.1016_j.jebo.2019.08.008,6,4,0
10.1016_j.jebo.2021.04.029,6,9,0
10.1016_j.joep.2010.01.005,6,7,0
10.1016_j.joep.2012.10.004,6,8,0
10.1016_j.joep.2016.03.002,6,12,0
10.1016_j.jpubeco.2010.03.002,6,4,0
10.1016_j.jpubeco.2019.104053,6,8,0
10.1016_j.obhdp.2012.07.006,6,3,0
10.1037_a0020280,6,3,0
10.1038_srep38304,6,1,0
10.1093_aler_aht010,6,7,0
10.1098_rspb.2021.2174,6,5,0
10.1098_rstb.2020.0302,6,3,0
10.1111_j.1465-7295.2010.00354.x,6,3,0
10.1111_j.1465-7295.2011.00433.x,6,7,0
10.1111_j.1540-5907.2006.00230.x,6,3,0
10.1126_science.1241399,6,7,0
10.1177_0022002714564426,6,5,0
10.1177_0951629815586885,6,7,0
10.1177_1474704917742720,6,0,0
10.1257_aer.102.2.720,6,2,0
10.1257_mic.20180336,6,6,0
10.1287_mnsc.2013.1848,6,3,0
10.1371_journal.pone.0307832,6,7,0
10.2307_2669365,6,8,0
10.2307_3005886,6,3,0
10.3389_fnbeh.2016.00180,6,8,0
10.3390_bs14070519,6,3,0
10.5751_es-05598-180302,6,6,0
10.1007_s10683-010-9267-z,5,5,0
10.1016_j.chaos.2022.112413,5,4,0
10.1016_j.chaos.2024.115003,5,4,0
10.1016_j.chieco.2024.102267,5,7,0
10.1016_j.euroecorev.2023.104466,5,2,0
10.1016_j.evolhumbehav.2006.06.001,5,5,0
10.1016_j.geb.2015.10.001,5,5,0
10.1016_j.geb.2020.07.004,5,7,0
10.1016_j.jebo.2005.02.008,5,5,0
10.1016_j.jebo.2016.06.003,5,6,0
10.1016_j.jebo.2017.07.035,5,6,0
10.1016_j.jebo.2019.03.007,5,7,0
10.1016_j.jebo.2020.06.009,5,3,0
10.1016_j.joep.2012.12.003,5,8,0
10.1016_j.joep.2017.03.007,5,9,0
10.1016_j.joep.2019.102193,5,8,0
10.1016_j.jpubeco.2006.10.007,5,7,0
10.1016_j.jpubeco.2007.04.005,5,5,0
10.1016_j.jpubeco.2015.03.007,5,6,0
10.1016_j.socec.2022.101872,5,3,0
10.1016_j.socec.2024.102211,5,7,0
10.1017_psrm.2023.52,5,6,0
10.1017_s1355770x16000322,5,4,0
10.1023_b_Exec.0000040559.08652.51,5,6,0
10.1037_npe0000099,5,5,0
10.1038_srep38349,5,10,0
10.1057_s41599-019-0249-2,5,6,0
10.1080_00036846.2011.591740,5,5,0
10.1080_09638180.2011.631734,5,6,0
10.1093_sf_sot015,5,3,0
10.1098_rsos.200617,5,3,0
10.1098_rspb.2011.0252,5,7,0
10.1098_rspb.2013.0247,5,5,0
10.1098_rspb.2021.1590,5,5,0
10.1098_rspb.2021.1611,5,9,0
10.1111_boer.12140,5,6,0
10.1111_ecin.12713,5,8,0
10.1111_j.1542-4774.2011.01059.x,5,6,0
10.1111_j.1740-1461.2010.01197.x,5,5,0
10.1177_0146167216684134,5,8,0
10.1257_mic.6.2.247,5,5,0
10.1371_journal.pone.0205420,5,2,0
10.2307_2786703,5,7,0
10.3389_fpsyg.2018.01865,5,3,0
10.3390_brainsci11030317,5,5,0
10.1002_bdm.1810,4,5,0
10.1007_s00199-005-0633-6,4,2,0
10.1007_s00265-014-1741-8,4,6,0
10.1007_s10663-024-09623-1,4,6,0
10.1007_s10683-017-9539-y,4,5,0
10.1007_s10683-020-09652-0,4,5,0
10.1007_s10683-022-09758-7,4,4,0
10.1007_s11127-020-00868-5,4,5,0
10.1007_s11238-021-09864-7,4,8,0
10.1007_s11238-024-09977-9,4,5,0
10.1007_s12144-023-04746-3,4,3,0
10.1016_j.chaos.2019.109398,4,1,0
10.1016_j.econlet.2007.09.048,4,7,0
10.1016_j.econlet.2017.01.016,4,4,0
10.1016_j.euroecorev.2010.04.003,4,5,0
10.1016_j.euroecorev.2023.104659,4,7,0
10.1016_j.forpol.2020.102121,4,4,0
10.1016_j.geb.2007.05.001,4,4,0
10.1016_j.geb.2017.09.015,4,5,0
10.1016_j.geb.2021.08.003,4,6,0
10.1016_j.geb.2022.03.015,4,6,0
10.1016_j.irle.2018.12.010,4,7,0
10.1016_j.irle.2020.105931,4,3,0
10.1016_j.jebo.2012.12.024,4,4,0
10.1016_j.jebo.2017.07.009,4,5,0
10.1016_j.jebo.2018.12.029,4,6,0
10.1016_j.jebo.2019.06.019,4,5,0
10.1016_j.jebo.2021.05.035,4,11,0
10.1016_j.jebo.2023.10.029,4,6,0
10.1016_j.jebo.2024.04.016,4,5,0
10.1016_j.jebo.2025.106930,4,3,0
10.1016_j.jecp.2018.01.015,4,3,0
10.1016_j.jeem.2012.09.001,4,6,0
10.1016_j.jenvp.2009.05.003,4,5,0
10.1016_j.jenvp.2018.11.002,4,4,0
10.1016_j.jesp.2016.06.007,4,5,0
10.1016_j.jet.2008.10.005,4,5,0
10.1016_j.joep.2010.07.002,4,7,0
10.1016_j.joep.2018.03.003,4,4,0
10.1016_j.joep.2019.102190,4,7,0
10.1016_j.joep.2021.102452,4,6,0
10.1016_j.jpubeco.2004.05.011,4,8,0
10.1016_j.jpubeco.2010.11.021,4,8,0
10.1016_j.jpubeco.2015.12.012,4,5,0
10.1016_j.jpubeco.2021.104429,4,8,0
10.1016_j.leaqua.2019.04.003,4,5,0
10.1016_j.obhdp.2012.06.007,4,3,0
10.1016_j.physa.2017.09.046,4,7,0
10.1016_j.physa.2021.126839,4,7,0
10.1016_j.pursup.2017.11.006,4,7,0
10.1016_j.socec.2013.02.017,4,6,0
10.1016_j.socec.2015.12.002,4,7,0
10.1016_j.socec.2018.05.007,4,8,0
10.1016_j.socec.2018.08.003,4,5,0
10.1016_j.socec.2018.09.006,4,6,0
10.1016_j.socec.2021.101798,4,5,0
10.1016_j.socec.2023.102091,4,7,0
10.1016_j.socec.2023.102127,4,9,0
10.1016_j.ssresearch.2018.12.012,4,7,0
10.1016_j.ssresearch.2019.102366,4,6,0
10.1016_s0167-2681(96)00854-2,4,3,0
10.1016_s0167-2681(99)00045-1,4,7,0
10.1038_nature04981,4,8,0
10.1038_nature06723,4,3,0
10.1038_ncomms4976,4,4,0
10.1038_s41598-021-89675-6,4,6,0
10.1038_s41598-024-71106-x,4,6,0
10.1038_s41598-025-07863-0,4,7,0
10.1057_s41599-022-01436-6,4,4,0
10.1073_pnas.0504902103,4,10,0
10.1073_pnas.0905918106,4,3,0
10.1073_pnas.1215443110,4,9,0
10.1073_pnas.1505067112,4,3,0
10.1073_pnas.1608164114,4,5,0
10.1073_pnas.1808241115,4,6,0
10.1093_aepp_ppq017,4,5,0
10.1093_ej_uead030,4,6,0
10.1093_jae_ejr034,4,6,0
10.1093_sf_soy017,4,8,0
10.1098_rspb.2010.2125,4,5,0
10.1098_rspb.2014.1661,4,5,0
10.1098_rspb.2016.0694,4,4,0
10.1098_rstb.2008.0275,4,5,0
10.1111_1911-3846.12489,4,5,0
10.1111_ajps.12139,4,10,0
10.1111_ecin.12187,4,7,0
10.1111_ecin.12512,4,8,0
10.1111_ecin.12720,4,7,0
10.1111_ecin.12766,4,9,0
10.1111_j.1465-7295.2007.00028.x,4,5,0
10.1111_j.1467-9779.2010.01472.x,4,5,0
10.1111_j.1468-0297.2005.01031.x,4,6,0
10.1111_j.1468-0297.2009.02288.x,4,4,0
10.1111_jems.12570,4,5,0
10.1111_jpet.12384,4,6,0
10.1126_sciadv.abj7377,4,7,0
10.1126_science.1145850,4,3,0
10.1126_science.1183532,4,3,0
10.1177_0022002703258795,4,9,0
10.1177_0022002708322361,4,4,0
10.1177_0190272519882389,4,8,0
10.1177_0894439313511396,4,7,0
10.1177_0951629814539199,4,5,0
10.1177_1043463109337876,4,8,0
10.1177_10434631231219608,4,6,0
10.1177_1046496404266546,4,6,0
10.1186_1744-9081-9-3,4,6,0
10.1257_000282803322157142,4,4,0
10.1257_aer.90.4.980,4,7,0
10.1257_aer.99.3.979,4,3,0
10.1287_mnsc.2014.2073,4,3,0
10.1287_mnsc.2017.2802,4,3,0
10.1371_journal.pone.0202878,4,6,0
10.1371_journal.pone.0229510,4,4,0
10.1371_journal.pone.0240324,4,6,0
10.1371_journal.pone.0248599,4,6,0
10.15195_v6.a14,4,3,0
10.1523_jneurosci.1642-12.2013,4,3,0
10.1561_102.00000099,4,5,0
10.2753_mis0742-1222310208,4,6,0
10.32872_spb.11607,4,4,0
10.3389_fnbeh.2015.00107,4,7,0
10.3390_bs14070601,4,7,0
10.3390_bs14080638,4,7,0
10.3390_g11040061,4,7,0
10.3390_g12030063,4,8,0
10.3390_g14050065,4,8,0
10.3390_su12198175,4,6,0
10.4284_0038-4038-2011.033,4,5,0
10.1002_bdm.2050,3,6,0
10.1002_ejsp.227,3,3,0
10.1002_ejsp.3171,3,5,0
10.1007_s00267-023-01825-w,3,5,0
10.1007_s10640-020-00419-y,3,3,0
10.1007_s10645-008-9094-1,3,6,0
10.1007_s10683-018-9592-1,3,6,0
10.1007_s11238-023-09931-1,3,4,0
10.1016_j.agsy.2015.11.012,3,7,0
10.1016_j.cub.2010.10.027,3,1,0
10.1016_j.euroecorev.2004.10.005,3,6,0
10.1016_j.euroecorev.2021.103711,3,5,0
10.1016_j.geb.2004.08.007,3,11,0
10.1016_j.geb.2007.09.004,3,12,0
10.1016_j.geb.2009.09.004,3,10,0
10.1016_j.geb.2012.10.011,3,8,0
10.1016_j.geb.2016.02.009,3,5,0
10.1016_j.jebo.2009.03.022,3,10,0
10.1016_j.jebo.2009.11.003,3,4,0
10.1016_j.jebo.2011.01.017,3,9,0
10.1016_j.jebo.2012.09.013,3,6,0
10.1016_j.jebo.2013.08.002,3,3,0
10.1016_j.jebo.2014.07.005,3,2,0
10.1016_j.jebo.2016.09.015,3,9,0
10.1016_j.jebo.2017.06.004,3,3,0
10.1016_j.jebo.2017.11.016,3,2,0
10.1016_j.jebo.2018.08.008,3,4,0
10.1016_j.jebo.2020.03.035,3,8,0
10.1016_j.jebo.2023.04.004,3,6,0
10.1016_j.jeem.2018.06.008,3,3,0
10.1016_j.jeem.2023.102895,3,9,0
10.1016_j.joep.2010.03.016,3,3,0
10.1016_j.joep.2016.02.008,3,9,0
10.1016_j.joep.2017.07.003,3,9,0
10.1016_j.jpubeco.2007.04.008,3,6,0
10.1016_j.jpubeco.2012.05.014,3,5,0
10.1016_j.jpubeco.2016.08.015,3,5,0
10.1016_j.jpubeco.2016.09.001,3,4,0
10.1016_j.neulet.2017.10.020,3,5,0
10.1016_j.neuroimage.2019.06.047,3,6,0
10.1016_j.physa.2022.128097,3,6,0
10.1016_j.rser.2025.115527,3,5,0
10.1016_j.socec.2012.04.014,3,3,0
10.1016_j.socec.2023.102050,3,9,0
10.1016_j.socec.2023.102081,3,2,0
10.1017_s1355770x19000457,3,8,0
10.1038_nature07184,3,2,0
10.1038_s41598-017-11580-8,3,0,0
10.1038_s41598-021-88663-0,3,0,0
10.1038_srep20767,3,8,0
10.1057_s41599-020-0419-2,3,4,0
10.1073_pnas.1108996108,3,5,0
10.1080_08941920.2016.1209266,3,5,0
10.1080_15534510.2019.1641147,3,7,0
10.1080_17470919.2017.1411828,3,4,0
10.1086_731967,3,5,0
10.1093_ei_cbi045,3,8,0
10.1093_esr_jcaa062,3,7,0
10.1093_pnasnexus_pgae200,3,6,0
10.1093_scan_nst023,3,5,0
10.1093_sf_sov110,3,10,0
10.1098_rsbl.2005.0344,3,3,0
10.1098_rspb.2008.1082,3,6,0
10.1098_rspb.2009.1900,3,5,0
10.1098_rspb.2012.2723,3,7,0
10.1111_1468-0106.12034,3,6,0
10.1111_ecin.12134,3,5,0
10.1111_evo.12108,3,6,0
10.1111_j.1467-9779.2008.00357.x,3,6,0
10.1111_j.1467-9779.2011.01519.x,3,4,0
10.1111_j.1468-0262.2004.00511.x,3,3,0
10.1111_j.1468-0262.2005.00644.x,3,6,0
10.1111_jssr.12045,3,6,0
10.1111_sjoe.12321,3,5,0
