variation,rmse,rmse_ci_low,rmse_ci_high,correlation,correlation_ci_low,correlation_ci_high,directional_accuracy,directional_accuracy_ci_low,directional_accuracy_ci_high,n,input_group,family,mode,wave,r2,baseline_r2_matched,delta_r2_vs_matched_baseline,source
both_freeform_joint,6.466087531028341,5.109806900364732,7.729733601414568,0.7036507408211108,0.4278505152330978,0.8495236776683219,0.55,0.35,0.75,20,both,freeform,joint,validation,0.17773111557741883,0.052604036776360275,0.12512707880105856,
both_freeform_joint_reasoning,8.549043215183517,6.654380497756118,10.445306385137702,0.6583963974031573,0.3586777978143539,0.8250757267230033,0.55,0.34875,0.75,20,both,freeform,joint_reasoning,validation,-0.4373605553093245,0.1279231301022753,-0.5652836854115998,
both_quantitative,8.91987461112751,6.067098279314075,11.496231355508542,0.6229827727161334,0.2694606902490469,0.8209028311726392,0.55,0.35,0.75,20,both,quantitative,single,validation,-0.5647616605424599,0.05899622905074087,-0.6237578895932008,
both_quantitative_reasoning,10.33539896877252,7.148684659545041,13.098790242264878,0.5866769858707647,0.2296194430782236,0.8075831235036834,0.6,0.4,0.8,20,both,quantitative,reasoning,validation,-1.1008023265163072,0.3619639450741491,-1.4627662715904561,
both_quantitative_joint,8.387953110994507,6.164262632283007,10.444493518658865,0.5913148352245986,0.233923708120395,0.8222624305088889,0.6,0.4,0.8,20,both,quantitative,joint,validation,-0.3837023734023557,0.052604036776360275,-0.43630641017871596,
both_quantitative_joint_reasoning,8.156518177603623,6.15795905435028,9.913270370997424,0.6846366237067619,0.4275469913259692,0.854328462744901,0.65,0.4,0.85,20,both,quantitative,joint_reasoning,validation,-0.30839933432562683,0.1279231301022753,-0.4363224644279021,
both_refined,9.261740103135988,6.53544126887112,11.477669970613084,0.5529396385699693,0.1910949265583855,0.8163635527864129,0.6,0.4,0.8,20,both,refined,single,validation,-0.6870030881862557,0.05899622905074087,-0.7459993172369965,
both_refined_reasoning,8.316320552025564,6.2497528871004056,10.1233734760115,0.6412975834565328,0.2813727056418226,0.8446266042351832,0.6,0.35,0.8,20,both,refined,reasoning,validation,-0.3601698358693708,0.3619639450741491,-0.7221337809435199,
both_refined_joint,8.367239723024673,5.57223092709765,10.804918944025635,0.5584791083455654,0.194866355646411,0.813454891375885,0.5,0.3,0.7,20,both,refined,joint,validation,-0.3768769237425116,0.052604036776360275,-0.42948096051887186,
both_refined_joint_reasoning,6.881000228744988,5.121645653866554,8.383786857223434,0.6777376469190138,0.4035376898909081,0.8479784349388353,0.6,0.4,0.8,20,both,refined,joint_reasoning,validation,0.06881956537404077,0.1279231301022753,-0.059103564728234526,
both_rules,9.800377402142342,7.453674013634511,11.952747430518698,0.7394771279488548,0.4794381838985299,0.8964171088607611,0.65,0.45,0.85,20,both,rules,single,validation,-0.8889318878888177,0.05899622905074087,-0.9479281169395586,
both_rules_reasoning,7.818326014638519,5.502551514344809,9.7430050987231,0.6728032249445709,0.3767175766830218,0.8681688695718851,0.75,0.55,0.9,20,both,rules,reasoning,validation,-0.20214886230650286,0.3619639450741491,-0.564112807380652,
both_rules_joint,7.812774442910319,5.795140904639358,9.490556822064235,0.7631036767450087,0.5026650283290091,0.898883708988356,0.6,0.4,0.8,20,both,rules,joint,validation,-0.20044224475668337,0.052604036776360275,-0.25304628153304365,
both_rules_joint_reasoning,7.482302114801335,5.627036138590048,9.01044105106432,0.7072966879820421,0.4445559267366836,0.8669514354670427,0.55,0.35,0.75,20,both,rules,joint_reasoning,validation,-0.10103513365611128,0.1279231301022753,-0.22895826375838657,
both_structured,7.44482206122046,5.796858341252579,8.844956687408818,0.6374094923536746,0.2804120256350433,0.84244642658094,0.5,0.25,0.7,20,both,structured,single,validation,-0.09003223668230365,0.05899622905074087,-0.1490284657330445,
both_structured_reasoning,7.345419899661389,5.451997965442026,9.072055854054534,0.5791074788822069,0.1723407763437904,0.832071931480381,0.6,0.35,0.8,20,both,structured,reasoning,validation,-0.061118660879958986,0.3619639450741491,-0.42308260595410807,
both_structured_joint,6.5322474662522705,4.50853413626211,8.241704966703374,0.693752711009361,0.4221496973313242,0.8658176885162765,0.65,0.45,0.85,20,both,structured,joint,validation,0.16081839418822308,0.052604036776360275,0.1082143574118628,
both_structured_joint_reasoning,6.235387169584402,4.877065504635924,7.5105096249755565,0.720083378225317,0.4637092076603322,0.857411836734175,0.6,0.4,0.8,20,both,structured,joint_reasoning,validation,0.23535905887207664,0.1279231301022753,0.10743592876980135,
both_uncertainty,6.861469152504672,5.463110815816443,8.144736140477345,0.7061144110075979,0.3963366454248738,0.867509773826953,0.55,0.35,0.75,20,both,uncertainty,single,validation,0.07409820059295502,0.05899622905074087,0.015101971542214154,
both_uncertainty_reasoning,6.296902330100616,4.66794103144666,7.724828597847294,0.6759277033756788,0.3583418980183454,0.8560486614172941,0.65,0.45,0.85,20,both,uncertainty,reasoning,validation,0.2201975202016636,0.3619639450741491,-0.14176642487248547,
both_uncertainty_joint,6.338016113219883,4.807233394311316,7.776607388377158,0.6655960458981851,0.3468046288842206,0.8334728896470467,0.6,0.4,0.8,20,both,uncertainty,joint,validation,0.20998129209451522,0.052604036776360275,0.15737725531815494,
both_uncertainty_joint_reasoning,6.317417577155405,4.941717132082266,7.492584220654166,0.6698887282167518,0.3540652815586607,0.8470503665268213,0.55,0.35,0.75,20,both,uncertainty,joint_reasoning,validation,0.21510806507212565,0.1279231301022753,0.08718493496985036,
data_only_freeform,7.664279096704355,5.545239962805664,9.493651564662672,0.537542418059221,0.1296773745688579,0.8018902219271732,0.4,0.2,0.65,20,data_only,freeform,single,validation,-0.15524293258780486,0.05899622905074087,-0.21423916163854573,
data_only_freeform_reasoning,7.428841404178853,5.228231225026907,9.398104913489153,0.55080131951397,0.1251345086676007,0.8151143440748008,0.45,0.25,0.65,20,data_only,freeform,reasoning,validation,-0.08535764932868117,0.3619639450741491,-0.44732159440283026,
data_only_freeform_joint,7.337964180413315,5.2402953981232185,9.369832279460596,0.5325728525707165,0.0929109325695213,0.8065037777901194,0.4,0.2,0.6012499999999988,20,data_only,freeform,joint,validation,-0.058965649117004304,0.052604036776360275,-0.11156968589336458,
data_only_freeform_joint_reasoning,7.275166510628284,5.0481981748566085,9.300580338131684,0.5566152468033494,0.1551651595001773,0.8172791865582493,0.4,0.2,0.65,20,data_only,freeform,joint_reasoning,validation,-0.04091813064947658,0.1279231301022753,-0.16884126075175188,
data_only_quantitative,11.311845496699252,8.468844186695595,14.3840336999275,0.4880657080953509,-0.0356227078555995,0.8005923394179187,0.4,0.2,0.65,20,data_only,quantitative,single,validation,-1.516504011559539,0.05899622905074087,-1.5755002406102798,
data_only_quantitative_reasoning,10.568304599057427,7.567482135946315,13.749623753994811,0.5376800047815125,0.0284413096226898,0.8347910509980526,0.4,0.2,0.6,20,data_only,quantitative,reasoning,validation,-1.1965512551393491,0.3619639450741491,-1.558515200213498,
data_only_quantitative_joint,10.021956056050051,7.656633796635161,12.285330589199946,0.6325523962328528,0.2453271146542928,0.8370648831430727,0.4,0.2,0.6,20,data_only,quantitative,joint,validation,-0.9753119267568475,0.052604036776360275,-1.0279159635332078,
data_only_quantitative_joint_reasoning,12.96140404840284,10.086538884590317,15.433273134083231,0.5798996091173749,0.1386727563416248,0.8247928665962571,0.35,0.15,0.55,20,data_only,quantitative,joint_reasoning,validation,-2.303960116043089,0.1279231301022753,-2.431883246145364,
data_only_structured,7.525396172752512,5.472373784369989,9.378312319535816,0.5327187093069691,0.1843255918722322,0.7484167789195412,0.45,0.25,0.65,20,data_only,structured,single,validation,-0.11375440344316079,0.05899622905074087,-0.17275063249390166,
data_only_structured_reasoning,7.084118785063369,4.848346372790786,9.279123937518952,0.5756868514483483,0.2052765020732805,0.8018137333897124,0.35,0.15,0.6,20,data_only,structured,reasoning,validation,0.01303360165919043,0.3619639450741491,-0.34893034341495865,
data_only_structured_joint,7.859892601686826,5.785517401893084,9.680417021728784,0.5686646737238042,0.2532524629343913,0.7610260010430162,0.4,0.2,0.6,20,data_only,structured,joint,validation,-0.21496543132377255,0.052604036776360275,-0.2675694681001328,
data_only_structured_joint_reasoning,8.966540598411335,5.745858800473524,11.708304356106584,0.4078819054655212,-0.1261726828645988,0.7570195471119752,0.4,0.2,0.6,20,data_only,structured,joint_reasoning,validation,-0.5811771737239986,0.1279231301022753,-0.7091003038262739,
paper_only_freeform,9.602079283801167,7.142830002774479,12.066731989629726,0.6690506417741799,0.3364843012793719,0.858855702775302,0.6,0.4,0.8,20,paper_only,freeform,single,validation,-0.8132649753817227,0.05899622905074087,-0.8722612044324636,
paper_only_freeform_reasoning,9.410454453602323,5.163362263119751,13.388618168269485,0.6946106462599815,0.4508971191280508,0.8466522033641798,0.7,0.5,0.9,20,paper_only,freeform,reasoning,validation,-0.7416139386849292,0.3619639450741491,-1.1035778837590784,
paper_only_freeform_joint,7.684871133078224,5.679770615762385,9.234748624195609,0.6586133612621808,0.3764415489933671,0.8468243270591201,0.6,0.4,0.8,20,paper_only,freeform,joint,validation,-0.16145898018386218,0.052604036776360275,-0.21406301696022245,
paper_only_freeform_joint_reasoning,7.210926375607032,5.633204590643049,8.678498960932592,0.7268559501893278,0.4461996886057575,0.8858070167386466,0.65,0.45,0.85,20,paper_only,freeform,joint_reasoning,validation,-0.022616558073399684,0.1279231301022753,-0.15053968817567498,
paper_only_quantitative,7.48015748176849,5.60317792252971,9.058891849418757,0.7013797138019613,0.4140125282678566,0.8543670523786446,0.55,0.3,0.8,20,paper_only,quantitative,single,validation,-0.10040405036844846,0.05899622905074087,-0.15940027941918933,
paper_only_quantitative_reasoning,6.855622936900791,4.842344565767982,8.667280359978804,0.6746205578037189,0.3871570193318993,0.856669311820729,0.55,0.35,0.75,20,paper_only,quantitative,reasoning,validation,0.0756753309082604,0.3619639450741491,-0.2862886141658887,
paper_only_quantitative_joint,7.721754230977082,5.750141934925447,9.413830585384092,0.7270426134178124,0.4895905757514139,0.8745211774800418,0.6,0.4,0.8,20,paper_only,quantitative,joint,validation,-0.17263444540160955,0.052604036776360275,-0.22523848217796982,
paper_only_quantitative_joint_reasoning,7.172089359573059,5.640520275742949,8.614439796497985,0.6693701959685142,0.3857762083851557,0.8507896714191047,0.65,0.45,0.85,20,paper_only,quantitative,joint_reasoning,validation,-0.011630889120874732,0.1279231301022753,-0.13955401922315003,
paper_only_structured,7.695577973741131,6.010215621318853,9.450278096388775,0.693832271512332,0.3763136350617417,0.8796998986044744,0.55,0.34875,0.75,20,paper_only,structured,single,validation,-0.16469760809457168,0.05899622905074087,-0.22369383714531255,
paper_only_structured_reasoning,7.027526901380623,5.404612695714446,8.599647827218723,0.7129594024669014,0.3901091384306402,0.8892929823991192,0.55,0.35,0.75,20,paper_only,structured,reasoning,validation,0.028739490206051266,0.3619639450741491,-0.3332244548680978,
paper_only_structured_joint,7.1271901623942755,5.139569756905582,9.256850763286506,0.6620485929893422,0.3918355875579483,0.860745565309448,0.55,0.35,0.75,20,paper_only,structured,joint,validation,0.0009956238495442138,0.052604036776360275,-0.05160841292681606,
paper_only_structured_joint_reasoning,7.165527926169532,5.467345432200509,8.598966780870384,0.690233040157246,0.429955873975917,0.864858628275611,0.6,0.35,0.8,20,paper_only,structured,joint_reasoning,validation,-0.009780741393727643,0.1279231301022753,-0.13770387149600294,
both_contrastive,14.562966189083774,12.55518295371508,17.06066024701836,0.4488167452860782,0.3411135016083304,0.5704789427072229,0.6066666666666667,0.5266666666666666,0.68,150,both,contrastive,single,learning,0.04544237919865346,-0.01580639138657447,0.06124877058522793,augmented
both_contrastive_reasoning,14.565212457053384,12.363168757976982,16.937561656925837,0.4319658140993421,0.3128327218050866,0.5566096533193393,0.64,0.5666666666666667,0.7133333333333334,150,both,contrastive,reasoning,learning,0.04514788458174446,0.011815096330119346,0.03333278825162511,augmented
both_contrastive_joint,14.724483625430514,12.39447377821724,17.507614173172758,0.4164376716418044,0.3018015028116083,0.5391938224796968,0.5466666666666666,0.4666666666666667,0.6266666666666667,150,both,contrastive,joint,learning,0.024151017542501485,-0.006021117720136804,0.03017213526263829,augmented
both_contrastive_joint_reasoning,14.54678950931122,12.349446852253726,16.941293186595967,0.43276322175455,0.3143151194779391,0.556584504836188,0.5266666666666666,0.4466666666666666,0.6133333333333333,150,both,contrastive,joint_reasoning,learning,0.04756186453337985,-0.031168767200522085,0.07873063173390193,augmented
both_ensemble,15.807210847627532,13.984836622168343,17.884177629209606,0.4156617701191312,0.3058300878094138,0.5336575654119785,0.5133333333333333,0.4266666666666667,0.5933333333333334,150,both,ensemble,single,learning,-0.12463853258267288,-0.01580639138657447,-0.10883214119609841,augmented
both_ensemble_reasoning,17.37084912078808,15.407450688492304,19.45663739318586,0.4058941321613051,0.2777323396098896,0.5248575821238124,0.5266666666666666,0.4466666666666666,0.6066666666666667,150,both,ensemble,reasoning,learning,-0.3581400712439857,0.011815096330119346,-0.36995516757410507,augmented
both_ensemble_joint,14.626587581871206,12.58654165332578,16.929944411743715,0.4180211359112805,0.3029202351415932,0.5318965990397989,0.58,0.4933333333333333,0.66,150,both,ensemble,joint,learning,0.0370837878130279,-0.006021117720136804,0.043104905533164706,augmented
both_ensemble_joint_reasoning,14.867068205421305,12.855211732424385,16.960604600341366,0.3895117337029239,0.2699244675679325,0.5055080516599993,0.52,0.44,0.6,150,both,ensemble,joint_reasoning,learning,0.005160239043564552,-0.031168767200522085,0.03632900624408664,augmented
both_freeform,15.145533642880991,13.391681195028882,17.13176476629341,0.4377429499214655,0.3291965133625713,0.5388742112206235,0.5133333333333333,0.4333333333333333,0.5933333333333334,150,both,freeform,single,learning,-0.03245617679422197,-0.01580639138657447,-0.0166497854076475,augmented
both_freeform_reasoning,15.356403284783854,13.320051653360531,17.44523614624957,0.4145382912172404,0.3013050201696316,0.5315091232406031,0.5333333333333333,0.4533333333333333,0.6133333333333333,150,both,freeform,reasoning,learning,-0.061405868691377874,0.011815096330119346,-0.07322096502149722,augmented
both_freeform_joint,14.646869206726306,12.478261171419916,17.50145488523611,0.4104063510795183,0.2947101449825444,0.5317661953575363,0.5333333333333333,0.4533333333333333,0.6133333333333333,150,both,freeform,joint,learning,0.03441152466959685,-0.006021117720136804,0.04043264238973365,augmented
both_freeform_joint_reasoning,14.84844471742812,12.947094142216374,17.06453765534131,0.4168301908069812,0.2863147352177709,0.5317391647921887,0.5333333333333333,0.4533333333333333,0.6133333333333333,150,both,freeform,joint_reasoning,learning,0.007651084146759524,-0.031168767200522085,0.03881985134728161,augmented
both_quantitative,15.732390089225266,13.818943796993215,17.612752725778066,0.4085908356577537,0.2920901735846942,0.5233705536016131,0.5533333333333333,0.4733333333333333,0.6333333333333333,150,both,quantitative,single,learning,-0.11401715698532522,-0.01580639138657447,-0.09821076559875075,augmented
both_quantitative_reasoning,16.384968481317593,14.591833584211688,18.1933807960555,0.4029429071617513,0.2898293014569859,0.522372071254433,0.5733333333333334,0.4933333333333333,0.6533333333333333,150,both,quantitative,reasoning,learning,-0.20835261811071937,0.011815096330119346,-0.2201677144408387,augmented
both_quantitative_joint,14.374972510819306,12.335086130144326,16.666202294438094,0.4102066231597391,0.2968329968871869,0.5218234158917316,0.5733333333333334,0.4933333333333333,0.6533333333333333,150,both,quantitative,joint,learning,0.06992812318997477,-0.006021117720136804,0.07594924091011157,augmented
both_quantitative_joint_reasoning,14.685452213878593,12.605294570717543,17.164011728618412,0.401839059849379,0.2795605172329383,0.5192203710159263,0.5733333333333334,0.4866666666666667,0.6533333333333333,150,both,quantitative,joint_reasoning,learning,0.029317688468360137,-0.031168767200522085,0.06048645566888222,augmented
both_refined,15.09495080338118,13.247639271170652,17.08931973738938,0.4263993475853216,0.3115074989726482,0.5355541873478832,0.5866666666666667,0.5131666666666667,0.66,150,both,refined,single,learning,-0.025571327850891112,-0.01580639138657447,-0.009764936464316643,augmented
both_refined_reasoning,15.486368209499274,13.48934925298324,17.625267984094496,0.4105652190922931,0.2944779917100227,0.5341394450862549,0.6066666666666667,0.52,0.68,150,both,refined,reasoning,learning,-0.07944775836040963,0.011815096330119346,-0.09126285469052897,augmented
both_refined_joint,14.4730589362119,12.443380494425837,16.83665172933777,0.4250962441074932,0.3102372078394988,0.5428826443905155,0.5933333333333334,0.5133333333333333,0.6666666666666666,150,both,refined,joint,learning,0.057192284279797834,-0.006021117720136804,0.06321340199993464,augmented
both_refined_joint_reasoning,14.934833244041767,12.698823196408544,17.704733766568566,0.3881881526687579,0.2706755800163153,0.5233323449238599,0.5733333333333334,0.4933333333333333,0.6533333333333333,150,both,refined,joint_reasoning,learning,-0.003929514984276183,-0.031168767200522085,0.0272392522162459,augmented
both_rules,15.895492034355795,13.658210632764009,18.350141862388377,0.430404358919256,0.3187897990094139,0.5468363141971012,0.52,0.44,0.6066666666666667,150,both,rules,single,learning,-0.13723552650661186,-0.01580639138657447,-0.12142913512003739,augmented
both_rules_reasoning,14.98653124728956,12.807325753814586,17.272137159017433,0.4173878843451992,0.2990729792245287,0.5335686531516423,0.5866666666666667,0.5131666666666667,0.6666666666666666,150,both,rules,reasoning,learning,-0.010891893508011563,0.011815096330119346,-0.02270698983813091,augmented
both_rules_joint,14.486047876554805,12.329525014796683,17.14179819840949,0.4566775700143582,0.3475857521146288,0.572050478147401,0.6333333333333333,0.56,0.7066666666666667,150,both,rules,joint,learning,0.05549926715230591,-0.006021117720136804,0.06152038487244271,augmented
both_rules_joint_reasoning,14.805188445532304,12.664670100601422,17.388640013605535,0.4358638936359194,0.3154551938733335,0.5482827223806714,0.5933333333333334,0.5133333333333333,0.6733333333333333,150,both,rules,joint_reasoning,learning,0.013424455114057876,-0.031168767200522085,0.04459322231457996,augmented
both_structured,15.13962380242511,12.88732623929492,17.501009329601384,0.3701256594014797,0.2436956274847462,0.5041051367873715,0.5733333333333334,0.4998333333333333,0.6466666666666666,150,both,structured,single,learning,-0.03165059793731295,-0.01580639138657447,-0.015844206550738482,augmented
both_structured_reasoning,14.912372227118032,12.757966939095988,17.59757014706201,0.3874669966076228,0.2638818427662123,0.5200347136897848,0.6,0.52,0.68,150,both,structured,reasoning,learning,-0.000912096425236486,0.011815096330119346,-0.012727192755355832,augmented
both_structured_joint,14.503526544981156,12.29712182322383,17.31618263690188,0.3851743512027547,0.2584979887421557,0.5096432726580286,0.6066666666666667,0.5266666666666666,0.6866666666666666,150,both,structured,joint,learning,0.053218648613150066,-0.006021117720136804,0.05923976633328687,augmented
both_structured_joint_reasoning,14.976811597836257,12.49163816477879,17.919506791979135,0.3651183461206818,0.2303371778473349,0.5137362679543351,0.5733333333333334,0.4933333333333333,0.6466666666666666,150,both,structured,joint_reasoning,learning,-0.009581072682957936,-0.031168767200522085,0.02158769451756415,augmented
both_uncertainty,14.354508683434943,11.775736866028987,17.07691737316117,0.4271613301772494,0.3251095074216781,0.5402445729186629,0.5866666666666667,0.5066666666666667,0.66,150,both,uncertainty,single,learning,0.07257428936705912,-0.01580639138657447,0.08838068075363359,augmented
both_uncertainty_reasoning,14.401478327937909,12.003944783990947,17.05872583467334,0.4096375689029177,0.2885180529603502,0.5352664162848595,0.6,0.52,0.6668333333333332,150,both,uncertainty,reasoning,learning,0.0664950671489637,0.011815096330119346,0.05467997081884435,augmented
both_uncertainty_joint,14.766799397599044,12.227917606790644,17.685149673115113,0.367456692951041,0.2399561955852564,0.5044560024220925,0.5066666666666667,0.4266666666666667,0.5866666666666667,150,both,uncertainty,joint,learning,0.01853409540069184,-0.006021117720136804,0.024555213120828645,augmented
both_uncertainty_joint_reasoning,14.739474012216666,12.363612436315671,17.616070209769543,0.3837885307607058,0.2649112141967519,0.5271569533476866,0.5466666666666666,0.4666666666666667,0.62,150,both,uncertainty,joint_reasoning,learning,0.022163063285541962,-0.031168767200522085,0.05333183048606405,augmented
data_only_freeform,15.355897075289018,12.576147133947533,18.5017917777192,0.3221291640354555,0.1819563682462898,0.4663374052601926,0.4266666666666667,0.3531666666666667,0.5066666666666667,150,data_only,freeform,single,learning,-0.06133589333804168,-0.01580639138657447,-0.04552950195146721,augmented
data_only_freeform_reasoning,15.107625489193094,12.467948037955006,17.910784347526775,0.3480047940437374,0.215125783574608,0.4869078479027781,0.46,0.3866666666666666,0.54,150,data_only,freeform,reasoning,learning,-0.027294321431595714,0.011815096330119346,-0.03910941776171506,augmented
data_only_freeform_joint,14.943279227164222,12.398266351945804,17.669710800091547,0.3495636755998098,0.2229643513374258,0.4873165976338452,0.4533333333333333,0.3733333333333333,0.5333333333333333,150,data_only,freeform,joint,learning,-0.005065325365548379,-0.006021117720136804,0.000955792354588425,augmented
data_only_freeform_joint_reasoning,15.003359184546786,12.35543082530246,18.145215522920957,0.3428129508254975,0.2113766638833597,0.4781601509076678,0.46,0.3733333333333333,0.54,150,data_only,freeform,joint_reasoning,learning,-0.01316336991311684,-0.031168767200522085,0.018005397287405245,augmented
data_only_quantitative,16.8191589649125,14.030418394258238,20.34464346271329,0.3250861689111399,0.1893837606410343,0.4665882863211352,0.4266666666666667,0.3466666666666667,0.5066666666666667,150,data_only,quantitative,single,learning,-0.2732421796261262,-0.01580639138657447,-0.2574357882395517,augmented
data_only_quantitative_reasoning,15.72700933084659,13.115778062672426,18.538412211369828,0.3838251428896606,0.2621655309936457,0.5061197886973534,0.4666666666666667,0.3866666666666666,0.5466666666666666,150,data_only,quantitative,reasoning,learning,-0.11325525977251183,0.011815096330119346,-0.12507035610263117,augmented
data_only_quantitative_joint,15.270272853584794,12.65720413205774,18.172921210173456,0.3543322535427255,0.2236305114331659,0.4874048050202824,0.4466666666666666,0.3731666666666667,0.5266666666666666,150,data_only,quantitative,joint,learning,-0.049532910066510505,-0.006021117720136804,-0.0435117923463737,augmented
data_only_quantitative_joint_reasoning,17.230038775123923,14.43960602114694,20.261136060789056,0.3286253736907962,0.1926527683909539,0.4660510099210452,0.42,0.34,0.5,150,data_only,quantitative,joint_reasoning,learning,-0.33621079619221406,-0.031168767200522085,-0.30504202899169197,augmented
data_only_structured,15.04820469278576,12.359932469163926,18.134570484757184,0.3145614127903659,0.18565262905121,0.4392793230383876,0.52,0.4466666666666666,0.6,150,data_only,structured,single,learning,-0.019229175609504656,-0.01580639138657447,-0.0034227842229301864,augmented
data_only_structured_reasoning,15.230118199141852,12.631018984198183,18.245521429340727,0.300465683419849,0.1711919760176453,0.4316580848595681,0.4933333333333333,0.4133333333333333,0.5666666666666667,150,data_only,structured,reasoning,learning,-0.04402047143974008,0.011815096330119346,-0.05583556776985943,augmented
data_only_structured_joint,15.04461778252827,12.458887614245334,18.299962133527057,0.3515096499491916,0.2220930976124839,0.4930177306918249,0.4866666666666667,0.4066666666666667,0.5666666666666667,150,data_only,structured,joint,learning,-0.01874334385100651,-0.006021117720136804,-0.012722226130869707,augmented
data_only_structured_joint_reasoning,15.064703476659854,12.377195845133638,17.99061724758226,0.3468462910838499,0.2197315375695832,0.485381669642167,0.44,0.36,0.52,150,data_only,structured,joint_reasoning,learning,-0.021465357366246218,-0.031168767200522085,0.009703409834275867,augmented
paper_only_freeform,15.667493503639584,13.71204062442948,17.68552451397978,0.4198411506791914,0.3101795501135622,0.5299903616656776,0.5466666666666666,0.4666666666666667,0.6266666666666667,150,paper_only,freeform,single,learning,-0.1048454039389839,-0.01580639138657447,-0.08903901255240942,augmented
paper_only_freeform_reasoning,17.132114152389796,15.015061393446558,19.20445432127997,0.3799337018514593,0.268918347252662,0.5031342955776134,0.5733333333333334,0.4933333333333333,0.6533333333333333,150,paper_only,freeform,reasoning,learning,-0.3210656056992036,0.011815096330119346,-0.33288070202932296,augmented
paper_only_freeform_joint,14.654057414996148,12.73966589406612,16.96186282310629,0.4011965964547671,0.2862286539744428,0.5205179504743943,0.58,0.5065000000000001,0.66,150,paper_only,freeform,joint,learning,0.03346353310390204,-0.006021117720136804,0.03948465082403885,augmented
paper_only_freeform_joint_reasoning,14.68696651838875,12.615179531387488,17.08467829683544,0.3911646077478181,0.2612341775723805,0.5166774110544935,0.6,0.52,0.68,150,paper_only,freeform,joint_reasoning,learning,0.029117492469436512,-0.031168767200522085,0.0602862596699586,augmented
paper_only_quantitative,14.889560944722373,12.66356690946036,17.309776851700704,0.4154136639333742,0.3054437247206688,0.5262581547175488,0.58,0.5,0.66,150,paper_only,quantitative,single,learning,0.002147728684703587,-0.01580639138657447,0.017954120071278057,augmented
paper_only_quantitative_reasoning,14.616509847086048,12.348514161772163,17.176394407655504,0.4061933040238646,0.2963299191685989,0.5292936179391189,0.6066666666666667,0.5266666666666666,0.68,150,paper_only,quantitative,reasoning,learning,0.0384102313343575,0.011815096330119346,0.026595135004238157,augmented
paper_only_quantitative_joint,14.901612269004302,12.462409067443922,18.032693362094214,0.358000273563743,0.2284910062834426,0.4841079529074805,0.5,0.42,0.58,150,paper_only,quantitative,joint,learning,0.0005317901177832596,-0.006021117720136804,0.006552907837920063,augmented
paper_only_quantitative_joint_reasoning,14.885877669100664,12.468928428890411,17.997942893567924,0.3727349884185887,0.2448909121247081,0.5129747916445285,0.4866666666666667,0.4133333333333333,0.5666666666666667,150,paper_only,quantitative,joint_reasoning,learning,0.002641351077679044,-0.031168767200522085,0.03381011827820113,augmented
