wave,input_group,mode,feature,median_value,mean_value,n_variants,baseline_median_value,baseline_mean_value,median_delta_vs_baseline,mean_delta_vs_baseline
learning,data_only,single,CONFIG_punishmentTech,-0.07592398088877735,-0.07658437971160047,3,-0.15506079695706834,-0.15506079695706834,0.079136816068291,0.07847641724546787
learning,data_only,single,CONFIG_rewardTech,0.017076847327162,0.02192563705402074,3,0.07758042015882212,0.07758042015882212,-0.06050357283166012,-0.055654783104801375
learning,data_only,single,control_pct,-0.8515813831731825,-0.8341210971436555,3,-0.6450418212567044,-0.6450418212567044,-0.20653956191647815,-0.18907927588695106
learning,paper_only,joint,CONFIG_MPCR,0.05588015134797435,0.06512013567426643,3,0.023663515840341827,0.023663515840341827,0.03221663550763252,0.0414566198339246
learning,paper_only,joint,CONFIG_numRounds,-0.11651052871284576,-0.12028075951421045,3,-0.08635833443479286,-0.08635833443479286,-0.030152194278052893,-0.03392242507941759
learning,paper_only,joint,CONFIG_playerCount,0.24038818800731218,0.24799880118185857,3,0.26069340592896767,0.26069340592896767,-0.02030521792165549,-0.012694604747109095
learning,paper_only,joint,CONFIG_punishmentCost,0.056058127342992474,0.056505794854966256,3,-0.010457151327461115,-0.010457151327461115,0.06651527867045359,0.06696294618242737
learning,paper_only,joint,CONFIG_punishmentTech,-0.17688828606094698,-0.1764243736418213,3,-0.11414925447526385,-0.11414925447526385,-0.06273903158568313,-0.062275119166557466
learning,paper_only,joint,CONFIG_rewardTech,0.009541879442104953,0.008575682379899736,3,0.02199995797380032,0.02199995797380032,-0.012458078531695366,-0.013424275593900583
learning,paper_only,joint,control_pct,-0.901399014617115,-0.9275555848383797,3,-0.7923802524945113,-0.7923802524945113,-0.10901876212260375,-0.13517533234386847
learning,paper_only,joint_reasoning,CONFIG_MPCR,0.14457720052305542,0.1602888061926303,3,0.0946008197785395,0.0946008197785395,0.04997638074451592,0.06568798641409081
learning,paper_only,joint_reasoning,CONFIG_numRounds,0.1223921436646474,0.08943359411202277,3,0.0013793702943845567,0.0013793702943845567,0.12101277337026284,0.08805422381763821
learning,paper_only,joint_reasoning,CONFIG_playerCount,0.08403033151416019,0.1076839204815271,3,0.19987217744735472,0.19987217744735472,-0.11584184593319453,-0.09218825696582762
learning,paper_only,joint_reasoning,CONFIG_punishmentCost,0.11080232224347336,0.07195558264701794,3,0.013546723284560212,0.013546723284560212,0.09725559895891314,0.05840885936245773
learning,paper_only,joint_reasoning,CONFIG_punishmentTech,-0.05350045052910187,-0.0585036690750765,3,-0.1322846252555636,-0.1322846252555636,0.07878417472646171,0.07378095618048708
learning,paper_only,joint_reasoning,CONFIG_rewardTech,0.008773202164162962,0.03647756157650282,3,-0.004501445181598373,-0.004501445181598373,0.013274647345761335,0.0409790067581012
learning,paper_only,joint_reasoning,control_pct,-0.26855362134249755,-0.2979611208982947,3,-0.6857572796444442,-0.6857572796444442,0.41720365830194667,0.38779615874614953
learning,paper_only,reasoning,CONFIG_MPCR,0.02667368026736453,0.0028545503910819142,3,0.044573076626017186,0.044573076626017186,-0.017899396358652654,-0.04171852623493527
learning,paper_only,reasoning,CONFIG_numRounds,-0.1420728709227428,-0.10342519594668947,3,-0.07140107842908514,-0.07140107842908514,-0.07067179249365765,-0.03202411751760434
learning,paper_only,reasoning,CONFIG_playerCount,0.05661492314121841,0.08075824544507514,3,0.15436392168952717,0.15436392168952717,-0.09774899854830876,-0.07360567624445204
learning,paper_only,reasoning,CONFIG_punishmentCost,-0.03982582266165441,0.0034162514889269865,3,-0.038622778445417345,-0.038622778445417345,-0.0012030442162370633,0.04203902993434433
learning,paper_only,reasoning,CONFIG_punishmentTech,0.01886499535115885,-0.00689882673206487,3,-0.11752784920362758,-0.11752784920362758,0.13639284455478642,0.11062902247156271
learning,paper_only,reasoning,CONFIG_rewardTech,0.053011854649046564,0.006971145339213308,3,-0.05544321388954845,-0.05544321388954845,0.10845506853859502,0.062414359228761755
learning,paper_only,reasoning,control_pct,0.05766459188356624,0.07703402450840127,3,-0.7193932182472812,-0.7193932182472812,0.7770578101308474,0.7964272427556824
learning,paper_only,single,CONFIG_MPCR,0.08726211839614947,0.08983380071469448,3,-0.06728312067836208,-0.06728312067836208,0.15454523907451156,0.15711692139305655
learning,paper_only,single,CONFIG_numRounds,-0.07060587704955583,-0.11960629544229696,3,-0.16976196688580789,-0.16976196688580789,0.09915608983625206,0.05015567144351092
learning,paper_only,single,CONFIG_playerCount,0.21868466548674423,0.23043105170730546,3,0.2661259601443949,0.2661259601443949,-0.04744129465765065,-0.03569490843708942
learning,paper_only,single,CONFIG_punishmentCost,0.056834550316633474,0.015595361512439634,3,-0.015426253293363855,-0.015426253293363855,0.07226080360999733,0.03102161480580349
learning,paper_only,single,CONFIG_punishmentTech,-0.10988400463480616,-0.1033874592964859,3,-0.15506079695706834,-0.15506079695706834,0.04517679232226218,0.051673337660582436
learning,paper_only,single,CONFIG_rewardTech,0.02992462323255622,-0.022532495215350164,3,0.07758042015882212,0.07758042015882212,-0.0476557969262659,-0.10011291537417229
learning,paper_only,single,control_pct,-0.6776890340204507,-0.7178066235149511,3,-0.6450418212567044,-0.6450418212567044,-0.03264721276374627,-0.07276480225824666
validation,both,joint,CONFIG_MPCR,0.2659036660224815,0.2296671630280316,8,0.20135063410638407,0.20135063410638407,0.06455303191609743,0.028316528921647544
validation,both,joint,CONFIG_numRounds,-0.2143956156774457,-0.23128427439653995,8,-0.11827028215718054,-0.11827028215718054,-0.09612533352026516,-0.11301399223935941
