wave,input_group,mode,feature,median_value,mean_value,n_variants
validation,data_only,joint_reasoning,CONFIG_MPCR,0.17469408096125452,0.1920218000597295,3
validation,data_only,joint_reasoning,CONFIG_numRounds,-0.11265018059860354,-0.10030756866534903,3
validation,data_only,joint_reasoning,CONFIG_playerCount,0.37189788470639656,0.3505981706506249,3
validation,data_only,joint_reasoning,CONFIG_punishmentCost,0.13753271942722706,0.00011193506829391502,3
validation,data_only,joint_reasoning,CONFIG_punishmentTech,0.11042790104210819,0.07291729895306226,3
validation,data_only,joint_reasoning,CONFIG_rewardTech,0.20113476274510636,0.1197336723219385,3
validation,data_only,joint_reasoning,control_pct,-0.759679442886684,-0.7465333274381877,3
validation,data_only,reasoning,CONFIG_MPCR,-0.02621096603268454,-0.053658122659491374,3
validation,data_only,reasoning,CONFIG_numRounds,0.1410722336036853,0.2232333364558313,3
validation,data_only,reasoning,CONFIG_playerCount,0.11364374064411653,0.09375908785030457,3
validation,data_only,reasoning,CONFIG_punishmentCost,-0.14068162414329846,-0.028233985989029885,3
validation,data_only,reasoning,CONFIG_punishmentTech,-0.09872040540443656,-0.045264526794578375,3
validation,data_only,reasoning,CONFIG_rewardTech,-0.059896285324394165,-0.047910517066311664,3
validation,data_only,reasoning,control_pct,-0.16918305233648198,-0.29373181536919307,3
validation,data_only,single,CONFIG_MPCR,0.42747212074524815,0.48786272434190686,3
validation,data_only,single,CONFIG_numRounds,0.10951980988070811,0.09313549359774764,3
validation,data_only,single,CONFIG_playerCount,0.15995622559048758,0.06900180267189837,3
validation,data_only,single,CONFIG_punishmentCost,-0.20978816883471113,-0.2048862323760047,3
validation,data_only,single,CONFIG_punishmentTech,0.13072319488799847,0.07183519542270479,3
validation,data_only,single,CONFIG_rewardTech,-0.0496071856198001,-0.055152851156769066,3
validation,data_only,single,control_pct,-0.8458195102907758,-0.7602880898246797,3
validation,paper_only,joint,CONFIG_MPCR,0.2773421049918422,0.26287478121035385,3
validation,paper_only,joint,CONFIG_numRounds,-0.1705284524394918,-0.18814882682277556,3
validation,paper_only,joint,CONFIG_playerCount,0.2426229768247441,0.15323758435729368,3
validation,paper_only,joint,CONFIG_punishmentCost,-0.1599258335814793,-0.20432808767816157,3
