wave,source,variation,family,mode,input_group,rmse,correlation,directional_accuracy,r2,n
validation,validation_batch,paper_only_structured_reasoning,paper_only_structured,reasoning,paper_only,9.200127113183798,0.5618435450504523,0.5,-0.6646324380632695,20
validation,validation_batch,paper_only_structured_joint,paper_only_structured,joint,paper_only,16.59088674771033,0.1496778193090953,0.6,-4.413397215787472,20
validation,validation_batch,paper_only_structured_joint_reasoning,paper_only_structured,joint_reasoning,paper_only,7.9750548489580995,-0.0034261331123103,0.65,-0.2508293263998156,20
learning,no_input_baseline,baseline,baseline,single,baseline,15.022915938200086,0.376068183822049,0.5933333333333334,-0.01580639138657447,150
learning,no_input_baseline,baseline_reasoning,baseline,reasoning,baseline,14.817259062515095,0.3381276463288686,0.6133333333333333,0.011815096330119346,150
learning,no_input_baseline,baseline_joint,baseline,joint,baseline,14.9503828838489,0.3591492101979627,0.4933333333333333,-0.006021117720136804,150
learning,no_input_baseline,baseline_joint_reasoning,baseline,joint_reasoning,baseline,15.136087921161788,0.3576229997292009,0.4466666666666666,-0.031168767200522085,150
learning,augmented,both_contrastive,both_contrastive,single,both,33.14495844908379,-0.0743966699464592,0.5733333333333334,-3.9446712741477246,150
learning,augmented,both_contrastive_reasoning,both_contrastive,reasoning,both,15.04985461009537,0.4363155248011667,0.5,-0.019452688790398298,148
learning,augmented,both_contrastive_joint,both_contrastive,joint,both,19.81841185661637,-0.0181709794943572,0.62,-0.7678286410308013,150
learning,augmented,both_contrastive_joint_reasoning,both_contrastive,joint_reasoning,both,14.10550473425384,0.3882106581877519,0.68,0.10447084604751089,150
learning,augmented,both_ensemble,both_ensemble,single,both,35.934093933750844,-0.0231009775150361,0.5733333333333334,-4.81186963668736,150
learning,augmented,both_ensemble_reasoning,both_ensemble,reasoning,both,16.60812287841354,0.4446867441410593,0.48,-0.24149097151287813,150
learning,augmented,both_ensemble_joint,both_ensemble,joint,both,17.238113020243244,0.2202235012912706,0.6333333333333333,-0.3374634249942814,150
learning,augmented,both_ensemble_joint_reasoning,both_ensemble,joint_reasoning,both,15.039280455764931,0.3730517863126471,0.46,-0.018020639998379107,150
learning,augmented,both_freeform,both_freeform,single,both,26.001169362354613,0.2125781878217598,0.5866666666666667,-2.0429038315987857,150
learning,augmented,both_freeform_reasoning,both_freeform,reasoning,both,16.315034527354715,0.4296978199664074,0.4933333333333333,-0.1980597041444021,150
learning,augmented,both_freeform_joint,both_freeform,joint,both,17.722155511172343,0.1198516735923931,0.5866666666666667,-0.413629348774889,150
learning,augmented,both_freeform_joint_reasoning,both_freeform,joint_reasoning,both,16.077299590795832,0.191604788496844,0.6466666666666666,-0.1633989730668164,150
learning,augmented,both_quantitative,both_quantitative,single,both,46.694592437366566,-0.151734851261035,0.5733333333333334,-8.81376479360174,150
learning,augmented,both_quantitative_reasoning,both_quantitative,reasoning,both,17.282468769587958,0.3805652721174656,0.5033557046979866,-0.34435519052888663,149
learning,augmented,both_quantitative_joint,both_quantitative,joint,both,18.662669121539476,0.1752672754416129,0.62,-0.5676531500738995,150
learning,augmented,both_quantitative_joint_reasoning,both_quantitative,joint_reasoning,both,14.900894658293543,0.3744515864737421,0.4533333333333333,0.0006280497452484379,150
learning,augmented,both_refined,both_refined,single,both,24.18181306586018,0.2252481337099644,0.5933333333333334,-1.6319654622510806,150
learning,augmented,both_refined_reasoning,both_refined,reasoning,both,17.063029155399953,0.3482322489564575,0.56,-0.3104327324225655,150
learning,augmented,both_refined_joint,both_refined,joint,both,19.758463962020997,0.0414109424323267,0.62,-0.7571499527319654,150
learning,augmented,both_refined_joint_reasoning,both_refined,joint_reasoning,both,15.009536100861538,0.4474884360016481,0.48,-0.013997784864431706,100
learning,augmented,both_rules,both_rules,single,both,27.530876523064507,0.34349846888518,0.58,-2.411477757014382,150
learning,augmented,both_rules_reasoning,both_rules,reasoning,both,16.21143877613204,0.425401709500783,0.5369127516778524,-0.18289334318059303,149
learning,augmented,both_rules_joint,both_rules,joint,both,16.860931704544104,0.2029986524541946,0.6533333333333333,-0.27957458454884687,150
learning,augmented,both_rules_joint_reasoning,both_rules,joint_reasoning,both,15.428665828666269,0.3693473783202706,0.5866666666666667,-0.07141867570902005,150
learning,augmented,both_structured,both_structured,single,both,29.91332839305181,-0.1215177659079974,0.5933333333333334,-3.027466570574938,150
learning,augmented,both_structured_reasoning,both_structured,reasoning,both,16.49678604631178,0.4339474132017055,0.4697986577181208,-0.22490145518336946,149
learning,augmented,both_structured_joint,both_structured,joint,both,18.07509122000685,0.1678339799345033,0.6266666666666667,-0.4704946956837541,150
learning,augmented,both_structured_joint_reasoning,both_structured,joint_reasoning,both,15.080030582343683,0.3650144259209796,0.4666666666666667,-0.023544929913356327,150
learning,augmented,both_uncertainty,both_uncertainty,single,both,17.927883158297938,0.272770700445292,0.6333333333333333,-0.44664007898702085,150
learning,augmented,both_uncertainty_reasoning,both_uncertainty,reasoning,both,14.93681438847013,0.439139846723128,0.5374149659863946,-0.004195880366587579,147
learning,augmented,both_uncertainty_joint,both_uncertainty,joint,both,16.4111394793378,0.2037103140311818,0.66,-0.2122157991315683,150
learning,augmented,both_uncertainty_joint_reasoning,both_uncertainty,joint_reasoning,both,14.880826677283494,0.370435437814076,0.4733333333333333,0.0033180724390844407,150
learning,augmented,data_only_freeform,data_only_freeform,single,data_only,27.915218539618746,-0.0212803682160928,0.6,-2.507393809460099,150
learning,augmented,data_only_freeform_reasoning,data_only_freeform,reasoning,data_only,15.894306936363796,0.2941333017168439,0.4666666666666667,-0.13706595826734458,150
learning,augmented,data_only_freeform_joint,data_only_freeform,joint,data_only,14.397295020858785,0.2614538442350944,0.6733333333333333,0.06703731295561288,150
learning,augmented,data_only_freeform_joint_reasoning,data_only_freeform,joint_reasoning,data_only,15.720237307460902,0.3043910831807094,0.5066666666666667,-0.11229673455559341,150
learning,augmented,data_only_quantitative,data_only_quantitative,single,data_only,37.69322989866295,0.0098737624049822,0.5933333333333334,-5.394832500164756,150
learning,augmented,data_only_quantitative_reasoning,data_only_quantitative,reasoning,data_only,17.07120835010845,0.3497993367001137,0.4444444444444444,-0.31168935025847433,144
learning,augmented,data_only_quantitative_joint,data_only_quantitative,joint,data_only,16.72921751420082,0.1524017562143545,0.62,-0.25966111352296917,150
learning,augmented,data_only_quantitative_joint_reasoning,data_only_quantitative,joint_reasoning,data_only,16.81147267553766,0.3991095163355745,0.4533333333333333,-0.2720787122185693,150
learning,augmented,data_only_structured,data_only_structured,single,data_only,24.185248823579627,-0.2467444842882099,0.5866666666666667,-1.6327134159327086,150
learning,augmented,data_only_structured_reasoning,data_only_structured,reasoning,data_only,15.417097639197538,0.3281154000792829,0.4662162162162162,-0.06981260972539394,148
learning,augmented,data_only_structured_joint,data_only_structured,joint,data_only,19.81841185661637,-0.0181709794943572,0.62,-0.7678286410308013,150
learning,augmented,data_only_structured_joint_reasoning,data_only_structured,joint_reasoning,data_only,18.352963033073237,0.3313446707483758,0.4533333333333333,-0.5160546139496647,150
learning,augmented,paper_only_freeform,paper_only_freeform,single,paper_only,41.55659850128587,-0.1261169098049811,0.5733333333333334,-6.7728887444277985,150
learning,augmented,paper_only_freeform_reasoning,paper_only_freeform,reasoning,paper_only,14.76418468131351,0.4498788000654359,0.5704697986577181,0.018881635529806706,149
learning,augmented,paper_only_freeform_joint,paper_only_freeform,joint,paper_only,17.011851924090927,0.1875897883807414,0.6266666666666667,-0.30258374555472445,150
learning,augmented,paper_only_freeform_joint_reasoning,paper_only_freeform,joint_reasoning,paper_only,13.610710152371476,0.4188697481439758,0.66,0.16619587779249845,150
learning,augmented,paper_only_quantitative,paper_only_quantitative,single,paper_only,45.1224717027334,0.141376471907845,0.6,-8.164066442618712,150
learning,augmented,paper_only_quantitative_reasoning,paper_only_quantitative,reasoning,paper_only,17.70211847367088,0.338643193655131,0.5436241610738255,-0.4104345983540092,149
learning,augmented,paper_only_quantitative_joint,paper_only_quantitative,joint,paper_only,16.09185499128359,0.272363553856943,0.6466666666666666,-0.1655064667124979,150
learning,augmented,paper_only_quantitative_joint_reasoning,paper_only_quantitative,joint_reasoning,paper_only,17.407707457451536,0.3378907640401997,0.4933333333333333,-0.3639097250184955,150
learning,augmented,paper_only_structured,paper_only_structured,single,paper_only,36.740158212361365,0.0022072228008791,0.5733333333333334,-5.075534776374827,150
learning,augmented,paper_only_structured_reasoning,paper_only_structured,reasoning,paper_only,16.321944000978778,0.3531598850195359,0.4765100671140939,-0.19907468389019756,149
learning,augmented,paper_only_structured_joint,paper_only_structured,joint,paper_only,19.810632730297662,-0.0152768872132968,0.62,-0.7664410966193358,150
learning,augmented,paper_only_structured_joint_reasoning,paper_only_structured,joint_reasoning,paper_only,21.22128868244834,0.2523211336904023,0.5533333333333333,-1.0269637104072067,150
