custom_id,n_gpt41,n_sonnet46,delta,smaller_model,frac_small_matched,avg_match_score,verdict
10.1371_journal.pone.0227360,10,12,2,gpt41,1.0,0.6,sonnet_splits_gpt
10.1371_journal.pone.0222724,4,6,2,gpt41,0.5,0.583,sonnet_different
10.1073_pnas.0504902103,4,6,2,gpt41,1.0,0.556,sonnet_splits_gpt
10.1177_1948550619849431,2,4,2,gpt41,0.0,0.15,sonnet_different
10.1287_mnsc.2015.2168,8,10,2,gpt41,1.0,0.4,sonnet_splits_gpt
10.1038_s41598-025-07863-0,4,6,2,gpt41,1.0,0.598,sonnet_splits_gpt
10.1002_bdm.1976,8,10,2,gpt41,1.0,0.77,sonnet_splits_gpt
10.1038_s41467-017-02036-8,1,3,2,gpt41,1.0,0.3,sonnet_splits_gpt
10.1007_s10683-006-9153-x,2,4,2,gpt41,0.0,0.24,sonnet_different
10.1016_j.jebo.2015.05.013,6,8,2,gpt41,1.0,0.633,sonnet_splits_gpt
10.1016_j.jebo.2014.03.005,3,5,2,gpt41,0.667,0.406,sonnet_splits_gpt
10.1016_j.jebo.2023.11.027,4,6,2,gpt41,1.0,0.379,sonnet_splits_gpt
10.1016_j.jebo.2024.02.003,2,4,2,gpt41,0.0,0.171,sonnet_different
10.1016_j.evolhumbehav.2004.04.002,6,8,2,gpt41,1.0,0.4,sonnet_splits_gpt
10.1016_j.econlet.2017.05.022,2,4,2,gpt41,0.5,0.414,sonnet_different
10.1016_j.joep.2008.12.002,2,4,2,gpt41,1.0,0.75,sonnet_splits_gpt
10.1016_j.anbehav.2023.08.014,4,6,2,gpt41,1.0,0.68,sonnet_splits_gpt
10.1016_j.joep.2017.07.002,6,8,2,gpt41,0.0,0.167,sonnet_different
10.1016_j.socec.2018.09.006,4,6,2,gpt41,1.0,1.0,sonnet_splits_gpt
10.1007_s11127-021-00925-7,4,6,2,gpt41,1.0,1.0,sonnet_splits_gpt
10.1016_j.leaqua.2023.101695,2,4,2,gpt41,0.0,0.083,sonnet_different
10.1016_j.jebo.2019.08.008,6,8,2,gpt41,1.0,0.497,sonnet_splits_gpt
10.1002_hbm.25874,2,4,2,gpt41,1.0,0.333,sonnet_splits_gpt
10.1016_j.socec.2015.03.007,3,5,2,gpt41,0.333,0.225,sonnet_different
10.1016_j.socec.2012.04.014,3,5,2,gpt41,0.333,0.225,sonnet_different
10.1002_bdm.2110,10,12,2,gpt41,1.0,0.819,sonnet_splits_gpt
10.1016_j.socec.2016.03.005,7,9,2,gpt41,1.0,0.452,sonnet_splits_gpt
10.1177_10434631231219608,4,5,1,gpt41,1.0,0.578,sonnet_splits_gpt
10.1016_j.joep.2010.01.005,6,7,1,gpt41,1.0,0.513,sonnet_splits_gpt
10.1086_691630,6,7,1,gpt41,0.167,0.246,sonnet_different
10.1016_j.euroecorev.2019.103346,6,7,1,gpt41,0.0,0.137,sonnet_different
10.1016_j.chieco.2024.102267,5,6,1,gpt41,0.8,0.415,sonnet_splits_gpt
10.1086_700098,2,3,1,gpt41,1.0,0.5,sonnet_splits_gpt
10.1037_pspi0000389,1,2,1,gpt41,0.0,0.067,sonnet_different
10.1016_j.cognition.2017.01.017,7,8,1,gpt41,0.857,0.566,sonnet_splits_gpt
10.1002_ejsp.793,2,3,1,gpt41,1.0,0.714,sonnet_splits_gpt
10.1093_esr_jcaa062,3,4,1,gpt41,0.0,0.159,sonnet_different
10.1093_esr_jcx072,1,2,1,gpt41,0.0,0.25,sonnet_different
10.1016_j.physa.2024.129999,2,3,1,gpt41,0.0,0.192,sonnet_different
10.3390_g12030063,4,5,1,gpt41,1.0,1.0,sonnet_splits_gpt
10.2307_1964229,9,10,1,gpt41,1.0,0.607,sonnet_splits_gpt
10.3763_cpol.2010.0106,4,5,1,gpt41,0.0,0.075,sonnet_different
10.1111_sjoe.12321,3,4,1,gpt41,0.0,0.137,sonnet_different
10.1093_sf_sov110,3,4,1,gpt41,0.667,0.345,sonnet_splits_gpt
10.1111_j.1467-9442.2006.00444.x,6,7,1,gpt41,0.333,0.244,sonnet_different
10.1016_j.jebo.2013.08.002,3,4,1,gpt41,1.0,0.833,sonnet_splits_gpt
10.1098_rsos.192090,3,4,1,gpt41,1.0,0.811,sonnet_splits_gpt
10.1098_rspb.2008.1082,3,4,1,gpt41,1.0,0.724,sonnet_splits_gpt
10.1098_rspb.2011.0252,5,6,1,gpt41,0.4,0.34,sonnet_different
10.1098_rspb.2012.0615,7,8,1,gpt41,0.857,0.461,sonnet_splits_gpt
10.1017_ehs.2022.32,3,4,1,gpt41,0.667,0.256,sonnet_splits_gpt
10.1098_rspb.2013.0247,5,6,1,gpt41,0.0,0.173,sonnet_different
10.1002_hbm.21298,2,3,1,gpt41,0.0,0.205,sonnet_different
10.1016_j.jpubeco.2007.04.005,5,6,1,gpt41,0.2,0.314,sonnet_different
10.1016_j.anbehav.2016.01.010,14,15,1,gpt41,1.0,0.493,sonnet_splits_gpt
10.1371_journal.pone.0155414,2,3,1,gpt41,1.0,1.0,sonnet_splits_gpt
10.1038_ncomms5939,10,11,1,gpt41,1.0,0.867,sonnet_splits_gpt
10.1007_s00355-017-1081-5,4,5,1,gpt41,1.0,1.0,sonnet_splits_gpt
10.1016_j.physa.2022.128097,3,4,1,gpt41,1.0,0.407,sonnet_splits_gpt
10.15195_v6.a14,4,5,1,gpt41,0.5,0.274,sonnet_different
10.1038_s41562-019-0707-2,3,4,1,gpt41,1.0,0.669,sonnet_splits_gpt
10.1016_j.physa.2017.09.046,5,6,1,gpt41,0.8,0.383,sonnet_splits_gpt
10.1007_s10551-024-05865-y,1,2,1,gpt41,1.0,0.333,sonnet_splits_gpt
10.1007_s10640-015-9879-z,2,3,1,gpt41,1.0,0.372,sonnet_splits_gpt
10.1016_j.marpol.2019.103673,4,5,1,gpt41,1.0,0.469,sonnet_splits_gpt
10.1037_xge0000365,5,6,1,gpt41,0.2,0.27,sonnet_different
10.1073_pnas.93.23.13421,7,8,1,gpt41,1.0,1.0,sonnet_splits_gpt
10.1371_journal.pone.0166101,1,2,1,gpt41,1.0,0.417,sonnet_splits_gpt
10.1371_journal.pone.0069871,6,7,1,gpt41,0.0,0.155,sonnet_different
10.1371_journal.pone.0040325,8,9,1,gpt41,1.0,0.75,sonnet_splits_gpt
10.1016_j.joep.2019.102193,4,5,1,gpt41,1.0,0.5,sonnet_splits_gpt
10.1016_j.amc.2024.128553,6,7,1,gpt41,0.333,0.275,sonnet_different
10.1257_mic.20180336,6,7,1,gpt41,1.0,0.543,sonnet_splits_gpt
10.1073_pnas.1608164114,4,5,1,gpt41,0.0,0.172,sonnet_different
10.1007_s12110-003-1007-z,4,5,1,gpt41,1.0,0.364,sonnet_splits_gpt
10.1007_s11238-023-09931-1,3,4,1,gpt41,1.0,0.8,sonnet_splits_gpt
10.1002_per.830,4,5,1,gpt41,1.0,0.929,sonnet_splits_gpt
10.1371_journal.pone.0064677,6,5,-1,sonnet46,0.8,0.41,gpt_splits_sonnet
10.1515_bejeap-2013-0110,5,4,-1,sonnet46,1.0,0.875,gpt_splits_sonnet
10.1007_s10683-011-9272-x,2,1,-1,sonnet46,0.0,0.067,gpt_different
10.1016_j.euroecorev.2018.04.003,5,4,-1,sonnet46,0.0,0.134,gpt_different
10.1007_s10683-019-09629-8,2,1,-1,sonnet46,0.0,0.0,gpt_different
10.1126_sciadv.aau5175,3,2,-1,sonnet46,0.5,0.316,gpt_different
10.1177_1745691613488533,2,1,-1,sonnet46,0.0,0.0,gpt_different
10.1186_s12889-018-5218-y,4,3,-1,sonnet46,0.0,0.026,gpt_different
10.1098_rstb.2015.0010,4,3,-1,sonnet46,1.0,0.482,gpt_splits_sonnet
10.1038_s41562-017-0191-5,10,9,-1,sonnet46,1.0,0.338,gpt_splits_sonnet
10.1093_jae_ejr034,4,3,-1,sonnet46,0.0,0.125,gpt_different
10.1038_s41562-022-01341-7,2,1,-1,sonnet46,0.0,0.214,gpt_different
10.1016_j.jesp.2015.04.005,8,7,-1,sonnet46,1.0,0.69,gpt_splits_sonnet
10.1016_j.jebo.2025.106930,6,5,-1,sonnet46,1.0,0.766,gpt_splits_sonnet
10.1080_00220485.2018.1551097,2,1,-1,sonnet46,0.0,0.182,gpt_different
10.1002_bdm.2012,6,5,-1,sonnet46,1.0,0.444,gpt_splits_sonnet
10.1086_717102,3,2,-1,sonnet46,0.0,0.174,gpt_different
10.1016_j.jebo.2023.09.007,4,3,-1,sonnet46,1.0,0.5,gpt_splits_sonnet
10.1016_j.neuropsychologia.2007.11.033,3,2,-1,sonnet46,1.0,0.49,gpt_splits_sonnet
10.1038_nature07184,9,8,-1,sonnet46,0.875,0.614,gpt_splits_sonnet
10.1037_xge0000018,6,5,-1,sonnet46,0.8,0.829,gpt_splits_sonnet
10.1037_a0020280,6,5,-1,sonnet46,1.0,0.769,gpt_splits_sonnet
10.1080_17565529.2016.1174664,4,3,-1,sonnet46,1.0,0.631,gpt_splits_sonnet
10.1016_j.jpubeco.2011.05.001,3,2,-1,sonnet46,1.0,0.667,gpt_splits_sonnet
10.1016_j.jrp.2016.08.004,4,2,-2,sonnet46,0.0,0.207,gpt_different
10.1038_srep06025,4,2,-2,sonnet46,1.0,0.317,gpt_splits_sonnet
10.1007_s10683-021-09737-4,5,3,-2,sonnet46,0.0,0.13,gpt_different
10.1287_mnsc.1110.1466,8,6,-2,sonnet46,0.667,0.301,gpt_splits_sonnet
10.1257_mic.6.1.290,4,2,-2,sonnet46,1.0,0.75,gpt_splits_sonnet
10.1016_j.jtbi.2004.12.015,8,6,-2,sonnet46,0.5,0.282,gpt_different
10.1073_pnas.1105604108,4,2,-2,sonnet46,0.0,0.14,gpt_different
10.1007_s00355-021-01363-6,4,2,-2,sonnet46,1.0,0.464,gpt_splits_sonnet
10.1628_093245607780182008,4,2,-2,sonnet46,0.0,0.182,gpt_different
10.1007_s00199-005-0633-6,4,2,-2,sonnet46,1.0,0.3,gpt_splits_sonnet
10.1002_soej.12391,8,6,-2,sonnet46,1.0,0.933,gpt_splits_sonnet
10.1016_j.socec.2013.02.017,4,2,-2,sonnet46,1.0,0.429,gpt_splits_sonnet
10.3390_g10010012,8,6,-2,sonnet46,0.833,0.347,gpt_splits_sonnet
10.1023_a_1023952115422,4,2,-2,sonnet46,1.0,0.333,gpt_splits_sonnet
10.1017_s1355770x12000381,8,6,-2,sonnet46,0.667,0.284,gpt_splits_sonnet
10.4284_0038-4038-2011.033,4,2,-2,sonnet46,0.0,0.25,gpt_different
10.1073_pnas.1315273111,6,4,-2,sonnet46,0.5,0.511,gpt_different
10.1016_j.worlddev.2024.106686,6,4,-2,sonnet46,0.0,0.125,gpt_different
10.1111_jems.12570,4,2,-2,sonnet46,1.0,0.381,gpt_splits_sonnet
10.1093_ej_uead030,4,2,-2,sonnet46,1.0,0.556,gpt_splits_sonnet
10.1111_bjso.12450,10,8,-2,sonnet46,1.0,0.44,gpt_splits_sonnet
10.1080_13504851.2024.2363290,4,2,-2,sonnet46,1.0,0.8,gpt_splits_sonnet
10.1111_j.1468-0297.2009.02288.x,4,2,-2,sonnet46,0.0,0.243,gpt_different
10.1016_j.jebo.2021.02.016,6,4,-2,sonnet46,0.75,0.441,gpt_splits_sonnet
10.1016_j.jebo.2021.05.035,4,2,-2,sonnet46,0.0,0.25,gpt_different
10.1126_science.7652573,3,1,-2,sonnet46,0.0,0.077,gpt_different
10.1016_j.jesp.2016.06.007,4,2,-2,sonnet46,0.0,0.25,gpt_different
10.1016_j.evolhumbehav.2016.02.001,8,6,-2,sonnet46,1.0,0.78,gpt_splits_sonnet
10.1523_jneurosci.2303-21.2022,10,7,-3,sonnet46,1.0,0.452,gpt_splits_sonnet
10.1073_pnas.2014759117,4,1,-3,sonnet46,0.0,0.053,gpt_different
10.1016_j.evolhumbehav.2007.08.002,8,5,-3,sonnet46,1.0,0.431,gpt_splits_sonnet
10.1038_s41598-020-67757-1,9,6,-3,sonnet46,1.0,0.733,gpt_splits_sonnet
10.1093_sf_soad073,7,4,-3,sonnet46,1.0,0.667,gpt_splits_sonnet
10.1038_srep38349,5,2,-3,sonnet46,1.0,0.7,gpt_splits_sonnet
10.1098_rspb.2012.0937,6,3,-3,sonnet46,1.0,0.582,gpt_splits_sonnet
10.1016_j.jebo.2017.06.006,6,3,-3,sonnet46,1.0,0.4,gpt_splits_sonnet
10.1080_15534510.2012.729493,6,3,-3,sonnet46,0.333,0.278,gpt_different
10.1016_j.chieco.2022.101826,6,3,-3,sonnet46,1.0,0.333,gpt_splits_sonnet
10.1086_730717,6,3,-3,sonnet46,0.667,0.352,gpt_splits_sonnet
10.3389_fpsyg.2022.794953,8,4,-4,sonnet46,1.0,0.507,gpt_splits_sonnet
10.3389_fpsyg.2019.00651,8,4,-4,sonnet46,1.0,0.714,gpt_splits_sonnet
10.1016_j.evolhumbehav.2008.01.001,9,5,-4,sonnet46,1.0,0.471,gpt_splits_sonnet
10.1016_j.jebo.2005.04.018,7,3,-4,sonnet46,0.0,0.233,gpt_different
10.1111_j.1439-0310.2012.02075.x,5,1,-4,sonnet46,1.0,0.333,gpt_splits_sonnet
10.3389_fpsyg.2022.816168,8,4,-4,sonnet46,1.0,0.417,gpt_splits_sonnet
10.1080_0013791x.2011.650839,8,4,-4,sonnet46,0.0,0.116,gpt_different
10.1523_jneurosci.2761-12.2013,8,4,-4,sonnet46,1.0,0.508,gpt_splits_sonnet
10.1016_j.euroecorev.2024.104682,8,4,-4,sonnet46,1.0,0.545,gpt_splits_sonnet
10.1007_s11238-022-09897-6,8,4,-4,sonnet46,1.0,0.444,gpt_splits_sonnet
10.1038_srep10321,8,4,-4,sonnet46,1.0,0.667,gpt_splits_sonnet
10.1016_j.obhdp.2009.01.004,16,12,-4,sonnet46,1.0,0.597,gpt_splits_sonnet
10.1038_s41598-024-69206-9,8,4,-4,sonnet46,1.0,0.923,gpt_splits_sonnet
10.1016_j.jebo.2018.11.013,8,4,-4,sonnet46,0.0,0.236,gpt_different
10.1007_s10551-025-05998-8,10,6,-4,sonnet46,1.0,0.504,gpt_splits_sonnet
10.1016_j.jebo.2011.01.018,10,5,-5,sonnet46,0.0,0.098,gpt_different
10.1037_xge0000154,10,5,-5,sonnet46,0.4,0.305,gpt_different
10.1016_j.irle.2019.105858,10,5,-5,sonnet46,1.0,0.557,gpt_splits_sonnet
10.3389_fnhum.2013.00252,9,3,-6,sonnet46,1.0,0.347,gpt_splits_sonnet
10.1037_0022-3514.76.4.587,12,6,-6,sonnet46,1.0,0.818,gpt_splits_sonnet
10.1177_0190272513518803,12,6,-6,sonnet46,1.0,0.8,gpt_splits_sonnet
10.1038_sdata.2016.99,10,4,-6,sonnet46,0.0,0.187,gpt_different
10.3390_bs13060456,12,4,-8,sonnet46,1.0,0.444,gpt_splits_sonnet
10.1073_pnas.2013744117,12,4,-8,sonnet46,0.5,0.303,gpt_different
10.1177_1368430208098783,18,7,-11,sonnet46,1.0,0.61,gpt_splits_sonnet
