panel,model,model_display,feature_key,feature_label,coef,ci_low,ci_high,p_value,n
Individual papers,Gemini 2.5 Pro,Gemini Pro 2.5,biology_share,Biology,0.0058735209842189365,0.0016001973783725905,0.010146844590065283,0.007062218589230217,2011
Individual papers,Gemini 2.5 Pro,Gemini Pro 2.5,economics_share,Economics,-0.0030430982953868493,-0.008996367273253073,0.0029101706824793748,0.31640950979739435,2011
Individual papers,Gemini 2.5 Pro,Gemini Pro 2.5,psychology_share,Psychology,0.0017416509261959955,-0.0031348507772358545,0.006618152629627846,0.48392450027063627,2011
Individual papers,Gemini 2.5 Pro,Gemini Pro 2.5,mathphysics_share,Math/Physics,-0.00047835653403632215,-0.005817238544697194,0.00486052547662455,0.8606002707408457,2011
Individual papers,Gemini 2.5 Pro,Gemini Pro 2.5,multidisciplinary_share,Multidisciplinary,0.0032292048845866,-0.0016838751611465649,0.008142284930319765,0.19766958339954255,2011
Collections,Claude Sonnet 4.6,Claude Sonnet 4.6,journal_impact,Journal Impact Factor,0.0024056860618917528,-0.0027531910908297945,0.0075645632146133,0.3607327024674666,717
Collections,Claude Sonnet 4.6,Claude Sonnet 4.6,citation,Citation,-0.005080890093018108,-0.009314667402344379,-0.0008471127836918368,0.018666641485586548,717
Collections,Claude Sonnet 4.6,Claude Sonnet 4.6,empirical_share,Empirical papers,-0.003517868156556717,-0.007057475724805804,2.1739411692369218e-05,0.05142377507182653,717
Collections,Claude Sonnet 4.6,Claude Sonnet 4.6,recent,Publication Year,-0.0031189896161650794,-0.006852567922395307,0.0006145886900651484,0.10156111358975131,717
Collections,Claude Sonnet 4.6,Claude Sonnet 4.6,biology_share,Biology,0.0030611816474232696,1.5522163962226193e-05,0.006106841130884313,0.04884376705045399,717
Collections,Claude Sonnet 4.6,Claude Sonnet 4.6,economics_share,Economics,-5.256144360789214e-05,-0.003546417990515238,0.0034412951032994537,0.9764772852578165,717
Collections,Claude Sonnet 4.6,Claude Sonnet 4.6,psychology_share,Psychology,0.0017734330781266586,-0.0011243933874965,0.004671259543749817,0.23034402926743225,717
Collections,Claude Sonnet 4.6,Claude Sonnet 4.6,mathphysics_share,Math/Physics,-0.010161707045781874,-0.014045000308186834,-0.006278413783376914,2.916167241067624e-07,717
Collections,Claude Sonnet 4.6,Claude Sonnet 4.6,multidisciplinary_share,Multidisciplinary,-0.0012594594117304903,-0.003930937373363334,0.0014120185499023532,0.35547667840128694,717
Collections,Claude Sonnet 4.6,Claude Sonnet 4.6,collection_size,Number of Papers,0.005708360493385926,0.0027457310438203687,0.008670989942951483,0.00015908831181636767,717
Collections,GPT-4.1,GPT-4.1,journal_impact,Journal Impact Factor,0.0034450633521216426,-0.004264221903247102,0.011154348607490386,0.3811099900632622,716
Collections,GPT-4.1,GPT-4.1,citation,Citation,-0.0036893360151299985,-0.010025788899974459,0.0026471168697144616,0.25379946316470614,716
Collections,GPT-4.1,GPT-4.1,empirical_share,Empirical papers,-0.014888730217892018,-0.02048155943455756,-0.009295901001226476,1.8121626883859445e-07,716
Collections,GPT-4.1,GPT-4.1,recent,Publication Year,-0.0007804709124421159,-0.0059231806836535375,0.004362238858769306,0.766123590382399,716
Collections,GPT-4.1,GPT-4.1,biology_share,Biology,0.004457729888071237,-0.0001055135960691192,0.009020973372211593,0.055537828142729964,716
Collections,GPT-4.1,GPT-4.1,economics_share,Economics,-1.1205280000417192e-05,-0.005846461222305673,0.0058240506623048385,0.9969970373478151,716
Collections,GPT-4.1,GPT-4.1,psychology_share,Psychology,0.0025195081960827127,-0.0022786137180122006,0.007317630110177626,0.30339370714156544,716
Collections,GPT-4.1,GPT-4.1,mathphysics_share,Math/Physics,-0.012487125504423149,-0.017471163003154593,-0.007503088005691705,9.082585517126447e-07,716
Collections,GPT-4.1,GPT-4.1,multidisciplinary_share,Multidisciplinary,-0.001608844474102196,-0.005807065043121925,0.002589376094917533,0.45259337068379035,716
Collections,GPT-4.1,GPT-4.1,collection_size,Number of Papers,0.02086545166246788,0.016539290084220712,0.025191613240715047,3.2901719161473475e-21,716
Collections,Gemini 2.5 Pro,Gemini Pro 2.5,journal_impact,Journal Impact Factor,0.008248903350502585,-0.0051564434134261095,0.02165425011443128,0.22779720500834688,717
Collections,Gemini 2.5 Pro,Gemini Pro 2.5,citation,Citation,-0.01163248708108703,-0.023195328889328216,-6.964527284584326e-05,0.048635956049356666,717
Collections,Gemini 2.5 Pro,Gemini Pro 2.5,empirical_share,Empirical papers,-0.019155116820456383,-0.027948333741406716,-0.01036189989950605,1.9584179814244587e-05,717
Collections,Gemini 2.5 Pro,Gemini Pro 2.5,recent,Publication Year,0.010421249203359068,0.0011131442995100434,0.019729354107208094,0.028210001913110388,717
Collections,Gemini 2.5 Pro,Gemini Pro 2.5,biology_share,Biology,0.016241123170538153,0.009243169748546009,0.023239076592530297,5.396272760474577e-06,717
Collections,Gemini 2.5 Pro,Gemini Pro 2.5,economics_share,Economics,0.00016016139711431154,-0.009860261152619504,0.010180583946848126,0.9750086949855193,717
Collections,Gemini 2.5 Pro,Gemini Pro 2.5,psychology_share,Psychology,0.009549932778214145,0.0019107110395974172,0.01718915451683087,0.014278190990240502,717
Collections,Gemini 2.5 Pro,Gemini Pro 2.5,mathphysics_share,Math/Physics,-0.019195305365576672,-0.028057341249136246,-0.010333269482017097,2.1828947681569654e-05,717
Collections,Gemini 2.5 Pro,Gemini Pro 2.5,multidisciplinary_share,Multidisciplinary,0.0064270086667364565,-0.0008510253109859194,0.013705042644458832,0.08349027812742717,717
Collections,Gemini 2.5 Pro,Gemini Pro 2.5,collection_size,Number of Papers,-0.00029488200826452925,-0.007585323604672217,0.0069955595881431585,0.9368129789294619,717
