model,variant_id,correlation,baseline_correlation
GPT-5 Mini,citation_q1_lowest__jcr_q1__discipline_other,0.5352228879928589,0.5310259892384347
GPT-5 Mini,type_theoretical__citation_q1_lowest__year_q3,0.535481333732605,0.5310259892384347
GPT-5 Mini,citation_q4_highest__jcr_q1__discipline_economics,0.5360206961631775,0.5310259892384347
GPT-5 Mini,year_q1_oldest,0.5360342860221863,0.5310259892384347
GPT-5 Mini,citation_q1_lowest__jcr_q1__discipline_economics,0.536274790763855,0.5310259892384347
GPT-5 Mini,type_empirical__jcr_q4__discipline_economics,0.536371648311615,0.5310259892384347
GPT-5 Mini,type_theoretical__jcr_q3__year_q3,0.5364217758178711,0.5310259892384347
GPT-5 Mini,citation_q1_lowest__year_q2__discipline_math_phys_cs,0.5370747447013855,0.5310259892384347
GPT-5 Mini,year_q3,0.5374768376350403,0.5310259892384347
GPT-5 Mini,jcr_q3__year_q1_oldest__discipline_bio_evo,0.5379568934440613,0.5310259892384347
GPT-5 Mini,citation_q3__year_q2__discipline_psych_social,0.5381796360015869,0.5310259892384347
GPT-5 Mini,type_theoretical__jcr_q2__year_q2,0.5387019515037537,0.5310259892384347
GPT-5 Mini,citation_q4_highest__year_q3__discipline_multidisciplinary,0.5388758778572083,0.5310259892384347
GPT-5 Mini,citation_q3__year_q4_newest__discipline_math_phys_cs,0.5391231775283813,0.5310259892384347
GPT-5 Mini,citation_q2__year_q3__discipline_multidisciplinary,0.5396572947502136,0.5310259892384347
GPT-5 Mini,citation_q4_highest__year_q2__discipline_psych_social,0.5398919582366943,0.5310259892384347
GPT-5 Mini,type_theoretical__jcr_q2__discipline_math_phys_cs,0.5403757095336914,0.5310259892384347
GPT-5 Mini,type_empirical__jcr_q3__discipline_psych_social,0.5404293537139893,0.5310259892384347
GPT-5 Mini,type_theoretical__citation_q1_lowest__jcr_q3,0.5410773158073425,0.5310259892384347
GPT-5 Mini,discipline_math_phys_cs,0.541463315486908,0.5310259892384347
GPT-5 Mini,citation_q1_lowest__year_q3__discipline_multidisciplinary,0.5428862571716309,0.5310259892384347
GPT-5 Mini,jcr_q4,0.5430551171302795,0.5310259892384347
GPT-5 Mini,type_empirical__citation_q4_highest__year_q3,0.5432946085929871,0.5310259892384347
GPT-5 Mini,citation_q4_highest__year_q3__discipline_math_phys_cs,0.5437095761299133,0.5310259892384347
GPT-5 Mini,jcr_q3__year_q4_newest__discipline_math_phys_cs,0.5437566041946411,0.5310259892384347
GPT-5 Mini,jcr_q1__year_q4_newest__discipline_economics,0.5450344681739807,0.5310259892384347
GPT-5 Mini,type_empirical__year_q3__discipline_bio_evo,0.5455272793769836,0.5310259892384347
GPT-5 Mini,citation_q2__jcr_q2__year_q1_oldest,0.5459516048431396,0.5310259892384347
GPT-5 Mini,type_empirical__jcr_q2__discipline_economics,0.5459816455841064,0.5310259892384347
GPT-5 Mini,jcr_q4__year_q3__discipline_economics,0.5464065670967102,0.5310259892384347
GPT-5 Mini,type_empirical__year_q4_newest__discipline_psych_social,0.5466770529747009,0.5310259892384347
GPT-5 Mini,type_theoretical__jcr_q3__discipline_math_phys_cs,0.547249436378479,0.5310259892384347
GPT-5 Mini,citation_q2__year_q1_oldest__discipline_math_phys_cs,0.5474148988723755,0.5310259892384347
GPT-5 Mini,type_empirical__citation_q1_lowest__discipline_psych_social,0.5480501055717468,0.5310259892384347
GPT-5 Mini,citation_q3__discipline_multidisciplinary,0.548209547996521,0.5310259892384347
GPT-5 Mini,citation_q2__year_q3__discipline_psych_social,0.54836106300354,0.5310259892384347
GPT-5 Mini,jcr_q2__discipline_bio_evo,0.5484395027160645,0.5310259892384347
GPT-5 Mini,citation_q4_highest__jcr_q2__discipline_math_phys_cs,0.5485895276069641,0.5310259892384347
GPT-5 Mini,jcr_q1__year_q4_newest__discipline_bio_evo,0.5486271977424622,0.5310259892384347
GPT-5 Mini,type_empirical__citation_q1_lowest,0.5487783551216125,0.5310259892384347
GPT-5 Mini,type_empirical__jcr_q2__year_q1_oldest,0.5488914847373962,0.5310259892384347
GPT-5 Mini,citation_q2__jcr_q2__discipline_bio_evo,0.549077570438385,0.5310259892384347
GPT-5 Mini,citation_q2__jcr_q3__discipline_other,0.5491162538528442,0.5310259892384347
GPT-5 Mini,citation_q2__year_q3__discipline_other,0.5491162538528442,0.5310259892384347
GPT-5 Mini,citation_q3__year_q1_oldest__discipline_psych_social,0.5494943857192993,0.5310259892384347
GPT-5 Mini,type_empirical__year_q1_oldest,0.5498218536376953,0.5310259892384347
GPT-5 Mini,type_theoretical__citation_q3__jcr_q3,0.5507291555404663,0.5310259892384347
GPT-5 Mini,jcr_q2__year_q4_newest__discipline_math_phys_cs,0.5508077144622803,0.5310259892384347
GPT-5 Mini,jcr_q1__year_q2__discipline_multidisciplinary,0.5513269305229187,0.5310259892384347
GPT-5 Mini,type_theoretical__citation_q3__year_q4_newest,0.5514982342720032,0.5310259892384347
GPT-5 Mini,type_theoretical__citation_q4_highest__discipline_math_phys_cs,0.5515249967575073,0.5310259892384347
GPT-5 Mini,jcr_q1__year_q2__discipline_bio_evo,0.5520761609077454,0.5310259892384347
GPT-5 Mini,type_theoretical__discipline_multidisciplinary,0.5523802042007446,0.5310259892384347
GPT-5 Mini,citation_q1_lowest__year_q3__discipline_bio_evo,0.5524495244026184,0.5310259892384347
GPT-5 Mini,type_theoretical__citation_q4_highest__year_q2,0.5525204539299011,0.5310259892384347
GPT-5 Mini,jcr_q2__year_q4_newest__discipline_economics,0.5525866746902466,0.5310259892384347
GPT-5 Mini,type_empirical__year_q2,0.5528831481933594,0.5310259892384347
GPT-5 Mini,citation_q4_highest__year_q3,0.5530211925506592,0.5310259892384347
GPT-5 Mini,citation_q3__year_q3__discipline_psych_social,0.5531934499740601,0.5310259892384347
GPT-5 Mini,citation_q4_highest__discipline_math_phys_cs,0.553253710269928,0.5310259892384347
GPT-5 Mini,type_empirical__citation_q4_highest__year_q1_oldest,0.5532844066619873,0.5310259892384347
GPT-5 Mini,jcr_q2__year_q2__discipline_multidisciplinary,0.5534052848815918,0.5310259892384347
GPT-5 Mini,citation_q1_lowest__jcr_q2__discipline_multidisciplinary,0.5535106062889099,0.5310259892384347
GPT-5 Mini,citation_q1_lowest__year_q4_newest__discipline_other,0.5536978244781494,0.5310259892384347
GPT-5 Mini,discipline_economics,0.5537205338478088,0.5310259892384347
GPT-5 Mini,type_theoretical__year_q3__discipline_bio_evo,0.5538168549537659,0.5310259892384347
GPT-5 Mini,jcr_q2__year_q4_newest__discipline_other,0.5538684129714966,0.5310259892384347
GPT-5 Mini,citation_q3__year_q1_oldest__discipline_economics,0.5540521740913391,0.5310259892384347
GPT-5 Mini,type_empirical__citation_q1_lowest__year_q4_newest,0.554110050201416,0.5310259892384347
GPT-5 Mini,citation_q3__jcr_q3__discipline_economics,0.5548667311668396,0.5310259892384347
GPT-5 Mini,citation_q3__year_q3__discipline_math_phys_cs,0.5550036430358887,0.5310259892384347
GPT-5 Mini,type_theoretical__year_q4_newest__discipline_math_phys_cs,0.5551846623420715,0.5310259892384347
GPT-5 Mini,citation_q2__jcr_q4__discipline_psych_social,0.5553286671638489,0.5310259892384347
GPT-5 Mini,year_q1_oldest__discipline_other,0.5555617213249207,0.5310259892384347
GPT-5 Mini,type_theoretical__citation_q2__jcr_q1,0.5556274652481079,0.5310259892384347
GPT-5 Mini,citation_q2__jcr_q4__year_q1_oldest,0.5558057427406311,0.5310259892384347
GPT-5 Mini,jcr_q2__year_q2__discipline_economics,0.5559337735176086,0.5310259892384347
GPT-5 Mini,type_empirical__jcr_q1__discipline_multidisciplinary,0.5563493371009827,0.5310259892384347
GPT-5 Mini,type_theoretical__jcr_q4,0.5565526485443115,0.5310259892384347
GPT-5 Mini,jcr_q2__discipline_other,0.5566354990005493,0.5310259892384347
GPT-5 Mini,citation_q4_highest__year_q2,0.5567513108253479,0.5310259892384347
GPT-5 Mini,year_q2__discipline_economics,0.5570362210273743,0.5310259892384347
GPT-5 Mini,discipline_multidisciplinary,0.5571818947792053,0.5310259892384347
GPT-5 Mini,type_theoretical__citation_q4_highest__discipline_bio_evo,0.5572919249534607,0.5310259892384347
GPT-5 Mini,type_empirical__citation_q3__discipline_economics,0.557433545589447,0.5310259892384347
GPT-5 Mini,citation_q2__year_q1_oldest,0.5575036406517029,0.5310259892384347
GPT-5 Mini,citation_q3__discipline_psych_social,0.5575364828109741,0.5310259892384347
GPT-5 Mini,type_theoretical__citation_q3__jcr_q2,0.5577436089515686,0.5310259892384347
GPT-5 Mini,type_theoretical__citation_q3__jcr_q1,0.5580150485038757,0.5310259892384347
GPT-5 Mini,type_theoretical__jcr_q4__year_q2,0.5583323240280151,0.5310259892384347
GPT-5 Mini,type_empirical__citation_q4_highest__jcr_q3,0.5583423376083374,0.5310259892384347
GPT-5 Mini,type_theoretical__jcr_q3__discipline_economics,0.5583787560462952,0.5310259892384347
GPT-5 Mini,citation_q3__jcr_q3__discipline_math_phys_cs,0.5584529042243958,0.5310259892384347
GPT-5 Mini,citation_q3__year_q3__discipline_other,0.5588006377220154,0.5310259892384347
GPT-5 Mini,year_q3__discipline_other,0.5588827133178711,0.5310259892384347
GPT-5 Mini,citation_q3__jcr_q1__year_q3,0.5589427947998047,0.5310259892384347
GPT-5 Mini,type_empirical__jcr_q3__year_q3,0.5590112209320068,0.5310259892384347
GPT-5 Mini,type_theoretical__jcr_q4__year_q4_newest,0.5595880746841431,0.5310259892384347
GPT-5 Mini,type_empirical__citation_q4_highest__discipline_multidisciplinary,0.5596709251403809,0.5310259892384347
GPT-5 Mini,citation_q3__year_q4_newest__discipline_other,0.5597071647644043,0.5310259892384347
GPT-5 Mini,type_empirical__citation_q1_lowest__discipline_bio_evo,0.5599133372306824,0.5310259892384347
GPT-5 Mini,type_empirical__citation_q1_lowest__jcr_q2,0.5600599050521851,0.5310259892384347
GPT-5 Mini,citation_q3__jcr_q2__discipline_bio_evo,0.5600829720497131,0.5310259892384347
GPT-5 Mini,citation_q1_lowest__year_q2__discipline_multidisciplinary,0.5602792501449585,0.5310259892384347
GPT-5 Mini,citation_q3__jcr_q1,0.560279905796051,0.5310259892384347
GPT-5 Mini,citation_q2__jcr_q1__discipline_other,0.560547947883606,0.5310259892384347
GPT-5 Mini,citation_q4_highest__year_q2__discipline_economics,0.5606524348258972,0.5310259892384347
GPT-5 Mini,citation_q4_highest__year_q2__discipline_bio_evo,0.5607499480247498,0.5310259892384347
GPT-5 Mini,citation_q1_lowest__jcr_q2__discipline_math_phys_cs,0.5611913204193115,0.5310259892384347
GPT-5 Mini,citation_q4_highest__year_q2__discipline_other,0.561367928981781,0.5310259892384347
GPT-5 Mini,type_empirical__citation_q1_lowest__discipline_math_phys_cs,0.5614421367645264,0.5310259892384347
GPT-5 Mini,citation_q1_lowest__year_q1_oldest,0.5615182518959045,0.5310259892384347
GPT-5 Mini,type_theoretical__citation_q1_lowest__year_q4_newest,0.5618090629577637,0.5310259892384347
GPT-5 Mini,type_theoretical__year_q4_newest,0.5620954632759094,0.5310259892384347
GPT-5 Mini,type_theoretical__jcr_q1,0.5621904134750366,0.5310259892384347
GPT-5 Mini,type_empirical__jcr_q2__discipline_other,0.5622850060462952,0.5310259892384347
GPT-5 Mini,type_theoretical__citation_q1_lowest__discipline_math_phys_cs,0.5623881816864014,0.5310259892384347
GPT-5 Mini,type_empirical__citation_q1_lowest__year_q3,0.5625309944152832,0.5310259892384347
GPT-5 Mini,type_theoretical__citation_q3__year_q2,0.5626193284988403,0.5310259892384347
GPT-5 Mini,jcr_q4__discipline_psych_social,0.5626645684242249,0.5310259892384347
GPT-5 Mini,year_q3__discipline_bio_evo,0.5626929402351379,0.5310259892384347
GPT-5 Mini,jcr_q2__year_q1_oldest__discipline_multidisciplinary,0.5627316832542419,0.5310259892384347
GPT-5 Mini,jcr_q2__discipline_psych_social,0.5627518892288208,0.5310259892384347
GPT-5 Mini,type_theoretical__year_q3__discipline_psych_social,0.5629240274429321,0.5310259892384347
GPT-5 Mini,type_theoretical__citation_q4_highest__discipline_psych_social,0.5634756088256836,0.5310259892384347
GPT-5 Mini,type_theoretical__citation_q3__discipline_multidisciplinary,0.5635687708854675,0.5310259892384347
GPT-5 Mini,year_q1_oldest__discipline_economics,0.5637650489807129,0.5310259892384347
GPT-5 Mini,jcr_q2__year_q3__discipline_math_phys_cs,0.5638095140457153,0.5310259892384347
GPT-5 Mini,type_theoretical__jcr_q3__discipline_bio_evo,0.5638956427574158,0.5310259892384347
GPT-5 Mini,citation_q2__jcr_q2__year_q3,0.5641511678695679,0.5310259892384347
GPT-5 Mini,citation_q2__jcr_q1__discipline_multidisciplinary,0.5642979145050049,0.5310259892384347
GPT-5 Mini,citation_q4_highest__jcr_q4,0.564938485622406,0.5310259892384347
GPT-5 Mini,citation_q3__year_q4_newest,0.5650308132171631,0.5310259892384347
GPT-5 Mini,discipline_other,0.5651232004165649,0.5310259892384347
GPT-5 Mini,jcr_q3__year_q4_newest__discipline_psych_social,0.5659504532814026,0.5310259892384347
GPT-5 Mini,type_theoretical__citation_q2__discipline_psych_social,0.565995991230011,0.5310259892384347
GPT-5 Mini,type_empirical__jcr_q2__discipline_bio_evo,0.566101610660553,0.5310259892384347
GPT-5 Mini,citation_q2__year_q2__discipline_psych_social,0.5661255121231079,0.5310259892384347
GPT-5 Mini,type_theoretical__jcr_q4__discipline_economics,0.5662574768066406,0.5310259892384347
GPT-5 Mini,citation_q4_highest__jcr_q3__discipline_psych_social,0.5663880705833435,0.5310259892384347
GPT-5 Mini,citation_q1_lowest__year_q2__discipline_other,0.5664466619491577,0.5310259892384347
GPT-5 Mini,type_theoretical__jcr_q3__year_q4_newest,0.5664603114128113,0.5310259892384347
GPT-5 Mini,type_theoretical__citation_q1_lowest__jcr_q2,0.5664613246917725,0.5310259892384347
GPT-5 Mini,citation_q2__year_q2__discipline_math_phys_cs,0.5665494799613953,0.5310259892384347
GPT-5 Mini,jcr_q4__year_q1_oldest,0.5666584372520447,0.5310259892384347
GPT-5 Mini,jcr_q3__discipline_bio_evo,0.5668157339096069,0.5310259892384347
GPT-5 Mini,type_empirical__jcr_q2__discipline_psych_social,0.5668755173683167,0.5310259892384347
GPT-5 Mini,jcr_q1__year_q3__discipline_bio_evo,0.5670643448829651,0.5310259892384347
GPT-5 Mini,type_empirical__discipline_math_phys_cs,0.5672502517700195,0.5310259892384347
GPT-5 Mini,type_empirical__year_q4_newest__discipline_other,0.5672959685325623,0.5310259892384347
GPT-5 Mini,citation_q1_lowest__jcr_q2__discipline_bio_evo,0.5674290657043457,0.5310259892384347
GPT-5 Mini,type_theoretical__year_q1_oldest__discipline_bio_evo,0.567587673664093,0.5310259892384347
GPT-5 Mini,citation_q2__jcr_q1__year_q2,0.5675901770591736,0.5310259892384347
GPT-5 Mini,citation_q1_lowest__jcr_q2__discipline_psych_social,0.5676526427268982,0.5310259892384347
GPT-5 Mini,citation_q1_lowest__jcr_q2,0.5676743984222412,0.5310259892384347
GPT-5 Mini,type_empirical__citation_q4_highest__jcr_q1,0.5680805444717407,0.5310259892384347
GPT-5 Mini,jcr_q2__year_q2__discipline_math_phys_cs,0.5683140754699707,0.5310259892384347
GPT-5 Mini,citation_q1_lowest__year_q3,0.5683562755584717,0.5310259892384347
GPT-5 Mini,citation_q4_highest__year_q3__discipline_bio_evo,0.5684463977813721,0.5310259892384347
GPT-5 Mini,type_empirical__year_q1_oldest__discipline_psych_social,0.5684741735458374,0.5310259892384347
GPT-5 Mini,citation_q1_lowest__jcr_q1__year_q4_newest,0.5684786438941956,0.5310259892384347
GPT-5 Mini,jcr_q4__year_q1_oldest__discipline_psych_social,0.5685386061668396,0.5310259892384347
GPT-5 Mini,jcr_q2__year_q3__discipline_psych_social,0.5686197876930237,0.5310259892384347
GPT-5 Mini,citation_q3__jcr_q1__year_q4_newest,0.5686490535736084,0.5310259892384347
GPT-5 Mini,citation_q1_lowest__jcr_q2__year_q3,0.568897008895874,0.5310259892384347
GPT-5 Mini,citation_q4_highest__year_q1_oldest__discipline_economics,0.568996250629425,0.5310259892384347
GPT-5 Mini,citation_q2,0.5691545605659485,0.5310259892384347
GPT-5 Mini,citation_q3__jcr_q1__discipline_multidisciplinary,0.569350004196167,0.5310259892384347
GPT-5 Mini,jcr_q4__year_q4_newest__discipline_economics,0.5694908499717712,0.5310259892384347
GPT-5 Mini,citation_q2__jcr_q2__year_q4_newest,0.5695339441299438,0.5310259892384347
GPT-5 Mini,citation_q1_lowest__year_q3__discipline_psych_social,0.5697764158248901,0.5310259892384347
GPT-5 Mini,type_theoretical__citation_q2__discipline_multidisciplinary,0.5701519846916199,0.5310259892384347
GPT-5 Mini,type_empirical__citation_q1_lowest__discipline_economics,0.5701808929443359,0.5310259892384347
GPT-5 Mini,jcr_q3__year_q3__discipline_other,0.5703161954879761,0.5310259892384347
GPT-5 Mini,citation_q3__jcr_q2__discipline_math_phys_cs,0.5705694556236267,0.5310259892384347
GPT-5 Mini,year_q3__discipline_psych_social,0.5707512497901917,0.5310259892384347
GPT-5 Mini,citation_q2__year_q2__discipline_multidisciplinary,0.5708237290382385,0.5310259892384347
GPT-5 Mini,citation_q2__jcr_q2__discipline_math_phys_cs,0.5708334445953369,0.5310259892384347
GPT-5 Mini,jcr_q1,0.5709974765777588,0.5310259892384347
GPT-5 Mini,type_empirical__citation_q1_lowest__discipline_multidisciplinary,0.5711089372634888,0.5310259892384347
