model,source_id,correlation,baseline_correlation
GPT-5 Mini,10.1073_pnas.2013744117,0.4793819785118103,0.5310259892384347
GPT-5 Mini,10.1016_j.chieco.2025.102459,0.4794842302799225,0.5310259892384347
GPT-5 Mini,10.1017_bpp.2019.4,0.4797757565975189,0.5310259892384347
GPT-5 Mini,10.1086_682418,0.4800285398960113,0.5310259892384347
GPT-5 Mini,10.1086_730717,0.4818695783615112,0.5310259892384347
GPT-5 Mini,10.1016_j.jebo.2023.11.027,0.4819506406784057,0.5310259892384347
GPT-5 Mini,10.1016_j.pursup.2017.11.006,0.4819613397121429,0.5310259892384347
GPT-5 Mini,10.3390_g12020041,0.4820405840873718,0.5310259892384347
GPT-5 Mini,10.1016_j.euroecorev.2019.103346,0.4827571809291839,0.5310259892384347
GPT-5 Mini,10.1016_j.jpubeco.2014.10.001,0.4830654561519623,0.5310259892384347
GPT-5 Mini,10.1038_415424a,0.4834859073162079,0.5310259892384347
GPT-5 Mini,10.5751_es-07532-200228,0.4842855632305145,0.5310259892384347
GPT-5 Mini,10.1016_j.jebo.2021.05.035,0.4844533205032348,0.5310259892384347
GPT-5 Mini,10.1098_rspb.2008.1082,0.4851793646812439,0.5310259892384347
GPT-5 Mini,10.1371_journal.pone.0155414,0.4854435324668884,0.5310259892384347
GPT-5 Mini,10.1177_0190272519882389,0.4857721924781799,0.5310259892384347
GPT-5 Mini,10.1111_caje.12201,0.4857866764068603,0.5310259892384347
GPT-5 Mini,10.1371_journal.pone.0329742,0.4859263896942138,0.5310259892384347
GPT-5 Mini,10.1017_xps.2020.10,0.4859360158443451,0.5310259892384347
GPT-5 Mini,10.1016_j.ssresearch.2018.12.012,0.4867179095745086,0.5310259892384347
GPT-5 Mini,10.1093_ei_cbi045,0.4874355792999267,0.5310259892384347
GPT-5 Mini,10.1038_nature07601,0.4878738224506378,0.5310259892384347
GPT-5 Mini,10.3389_fnins.2019.01160,0.4880605936050415,0.5310259892384347
GPT-5 Mini,10.1007_s11127-006-9075-3,0.4888797998428345,0.5310259892384347
GPT-5 Mini,10.1007_978-0-387-72596-3_8,0.4889267981052398,0.5310259892384347
GPT-5 Mini,10.1209_0295-5075_111_60003,0.489102691411972,0.5310259892384347
GPT-5 Mini,10.1016_j.ejpoleco.2012.03.001,0.4892436563968658,0.5310259892384347
GPT-5 Mini,10.1016_s1090-5138(04)00005-4,0.4899733960628509,0.5310259892384347
GPT-5 Mini,10.1177_0022002703258795,0.4903468489646911,0.5310259892384347
GPT-5 Mini,10.1007_s10640-017-0126-7,0.4915395081043243,0.5310259892384347
GPT-5 Mini,10.1177_0956797613510184,0.4922467470169067,0.5310259892384347
GPT-5 Mini,10.1111_ecoj.12209,0.4925909340381622,0.5310259892384347
GPT-5 Mini,10.1177_001872677002300105,0.4926720261573791,0.5310259892384347
GPT-5 Mini,10.1371_journal.pone.0057378,0.4927072525024414,0.5310259892384347
GPT-5 Mini,10.1016_j.ecolecon.2022.107597,0.4932906627655029,0.5310259892384347
GPT-5 Mini,10.1016_j.evolhumbehav.2022.10.002,0.4933607876300812,0.5310259892384347
GPT-5 Mini,10.1016_j.amc.2024.128553,0.493826150894165,0.5310259892384347
GPT-5 Mini,10.1109_jstsp.2013.2263785,0.4942465126514435,0.5310259892384347
GPT-5 Mini,10.1016_j.jpubeco.2021.104429,0.4942705631256103,0.5310259892384347
GPT-5 Mini,10.3389_fnhum.2022.967090,0.4946244955062866,0.5310259892384347
GPT-5 Mini,10.1016_j.joep.2013.07.002,0.4950305521488189,0.5310259892384347
GPT-5 Mini,10.1126_science.1177418,0.4951265752315521,0.5310259892384347
GPT-5 Mini,10.1016_j.jebo.2011.10.002,0.4952970147132873,0.5310259892384347
GPT-5 Mini,10.1016_j.copsyc.2021.09.003,0.4959658682346344,0.5310259892384347
GPT-5 Mini,10.1073_pnas.0908855106,0.4963409006595611,0.5310259892384347
GPT-5 Mini,10.1371_journal.pone.0104207,0.4964465498924255,0.5310259892384347
GPT-5 Mini,10.1016_j.comnet.2011.07.011,0.4966965913772583,0.5310259892384347
GPT-5 Mini,10.1073_pnas.0712173105,0.4967995584011078,0.5310259892384347
GPT-5 Mini,10.1037_0022-3514.76.4.587,0.4970428049564361,0.5310259892384347
GPT-5 Mini,10.1002_bdm.1810,0.4971326887607574,0.5310259892384347
GPT-5 Mini,10.1016_j.econlet.2017.05.022,0.4974234998226166,0.5310259892384347
GPT-5 Mini,10.1016_j.socec.2018.09.006,0.4977841973304748,0.5310259892384347
GPT-5 Mini,10.1016_j.euroecorev.2017.01.007,0.4978291094303131,0.5310259892384347
GPT-5 Mini,10.1007_s10683-013-9360-1,0.498043030500412,0.5310259892384347
GPT-5 Mini,10.1098_rspb.2021.2174,0.4980447590351105,0.5310259892384347
GPT-5 Mini,10.1007_s00267-023-01825-w,0.498717725276947,0.5310259892384347
GPT-5 Mini,10.1016_j.geb.2009.09.004,0.4995838701725006,0.5310259892384347
GPT-5 Mini,10.1016_j.jebo.2015.03.005,0.5000326633453369,0.5310259892384347
GPT-5 Mini,10.1257_aer.102.7.3317,0.5002477169036865,0.5310259892384347
GPT-5 Mini,10.1006_jtbi.2000.2202,0.5005496740341187,0.5310259892384347
GPT-5 Mini,10.1038_srep17050,0.5006348490715027,0.5310259892384347
GPT-5 Mini,10.1016_j.amc.2018.02.017,0.5008115768432617,0.5310259892384347
GPT-5 Mini,10.1186_1744-9081-9-3,0.5008642077445984,0.5310259892384347
GPT-5 Mini,10.1016_j.physleta.2017.09.041,0.5012580752372742,0.5310259892384347
GPT-5 Mini,10.1016_j.socec.2021.101692,0.5013012886047363,0.5310259892384347
GPT-5 Mini,10.1371_journal.pone.0125193,0.5015037059783936,0.5310259892384347
GPT-5 Mini,10.1016_j.isci.2021.102844,0.5017940998077393,0.5310259892384347
GPT-5 Mini,10.1007_s10955-012-0679-3,0.5020281672477722,0.5310259892384347
GPT-5 Mini,10.1016_j.evolhumbehav.2004.04.002,0.502622663974762,0.5310259892384347
GPT-5 Mini,10.1016_j.joep.2017.07.003,0.5026242733001709,0.5310259892384347
GPT-5 Mini,10.1016_j.neuroimage.2019.06.047,0.5029090046882629,0.5310259892384347
GPT-5 Mini,10.1073_pnas.0913149107,0.5032652616500854,0.5310259892384347
GPT-5 Mini,10.1016_j.geb.2012.10.001,0.503470778465271,0.5310259892384347
GPT-5 Mini,10.1080_15534510.2012.729493,0.5034889578819275,0.5310259892384347
GPT-5 Mini,10.1146_annurev.soc.33.040406.131812,0.5035145282745361,0.5310259892384347
GPT-5 Mini,10.1086_720287,0.5037669539451599,0.5310259892384347
GPT-5 Mini,10.1007_s10683-014-9402-3,0.5038241147994995,0.5310259892384347
GPT-5 Mini,10.1016_j.econlet.2020.109155,0.5041247010231018,0.5310259892384347
GPT-5 Mini,10.1093_sf_soy017,0.5042482614517212,0.5310259892384347
GPT-5 Mini,10.1016_j.jpubeco.2015.03.007,0.5045562386512756,0.5310259892384347
