item_type,model,feature_label,coef,ci_low,ci_high,n
Individual papers,GPT-5.1,Psychology journals,-0.005730329934076475,-0.012701639942479971,0.0012409800743270211,2011
Individual papers,GPT-5.1,Math/Physics journals,0.0015663175802740276,-0.004458863181456733,0.0075914983420047885,2011
Individual papers,GPT-5.1,Multidisciplinary journals,-0.002758063947272851,-0.010287641040965783,0.004771513146420081,2011
Individual papers,GPT-5 Mini,Higher journal impact,0.0014159536562066508,-0.001585837144617957,0.004417744457031259,1898
Individual papers,GPT-5 Mini,Higher citation,-0.0005198711130798394,-0.0028800367694758536,0.001840294543316175,1955
Individual papers,GPT-5 Mini,Empirical vs theory,-0.024038446173227444,-0.029175682878297516,-0.018901209468157373,2011
Individual papers,GPT-5 Mini,More recent paper,-0.00033939724421499335,-0.0027045826172729438,0.0020257881288429573,1955
Individual papers,GPT-5 Mini,Biology journals,0.012603496125984508,0.006216111463626712,0.018990880788342303,2011
Individual papers,GPT-5 Mini,Psychology journals,0.00032997391069539416,-0.00574092068090799,0.006400868502298778,2011
Individual papers,GPT-5 Mini,Math/Physics journals,0.007172848917248387,0.0022213838051435442,0.01212431402935323,2011
Individual papers,GPT-5 Mini,Multidisciplinary journals,0.002074449331516609,-0.004258549761032902,0.00840744842406612,2011
Individual papers,GPT-5 Nano,Higher journal impact,-0.0011440197441296542,-0.004517591308915693,0.002229551820656384,1898
Individual papers,GPT-5 Nano,Higher citation,-0.000602005450971223,-0.003120903918728109,0.001916893016785663,1955
Individual papers,GPT-5 Nano,Empirical vs theory,-0.01421518322887308,-0.01990926984531771,-0.00852109661242845,2011
Individual papers,GPT-5 Nano,More recent paper,-0.0027998319355655096,-0.005308462747359572,-0.00029120112377144756,1955
Individual papers,GPT-5 Nano,Biology journals,0.009136866491615556,0.00233322290101437,0.015940510082216742,2011
Individual papers,GPT-5 Nano,Psychology journals,0.0053022811716358096,-0.0010870863526710583,0.011691648695942677,2011
Individual papers,GPT-5 Nano,Math/Physics journals,0.0007225619042943653,-0.005260684595963678,0.006705808404552409,2011
Individual papers,GPT-5 Nano,Multidisciplinary journals,0.001262339188688035,-0.004875164149086866,0.007399842526462936,2011
Collections,GPT-4.1,Higher journal impact,0.015799290723129158,0.010365134471013579,0.021233446975244735,389
Collections,GPT-4.1,Higher citation,-0.0027308082479335556,-0.007227599904324877,0.001765983408457766,407
Collections,GPT-4.1,Empirical vs theory,-0.03246750919468595,-0.04672787965547833,-0.018207138733893576,270
Collections,GPT-4.1,More recent paper,-0.001497444122891595,-0.006323680383462562,0.003328792137679372,407
Collections,GPT-4.1,Biology journals,0.006699703063648071,-0.00543883754539898,0.01883824367269512,715
Collections,GPT-4.1,Psychology journals,0.005814807680565402,-0.007716041514478266,0.01934565687560907,715
Collections,GPT-4.1,Math/Physics journals,-0.015098308378400961,-0.026793689162338208,-0.0034029275944637144,715
Collections,GPT-4.1,Multidisciplinary journals,-0.004046770756450597,-0.01776730036960231,0.009673758856701114,715
Collections,GPT-4.1,Larger collection size,0.015850578402401547,0.0128761453970149,0.018825011407788195,715
Collections,GPT-4.1 Mini,Higher journal impact,0.016646851295199917,0.0113736659001704,0.021920036690229433,390
Collections,GPT-4.1 Mini,Higher citation,-0.005570627815128535,-0.010114602236195631,-0.0010266533940614386,408
Collections,GPT-4.1 Mini,Empirical vs theory,-0.03127111624326265,-0.04393614848123423,-0.01860608400529107,270
Collections,GPT-4.1 Mini,More recent paper,-0.004539542703694316,-0.008957699049700799,-0.00012138635768783445,407
Collections,GPT-4.1 Mini,Biology journals,0.008717273164938012,-0.002750242005509825,0.02018478833538585,716
Collections,GPT-4.1 Mini,Psychology journals,0.0014533083424016512,-0.010757043070414257,0.013663659755217559,716
Collections,GPT-4.1 Mini,Math/Physics journals,-0.012211537075990781,-0.023863343143253925,-0.0005597310087276357,716
Collections,GPT-4.1 Mini,Multidisciplinary journals,-0.014844661323853741,-0.029095648831733725,-0.0005936738159737567,716
Collections,GPT-4.1 Mini,Larger collection size,0.013888513539865878,0.010971080194948836,0.01680594688478292,716
Collections,GPT-5.1,Higher journal impact,0.01051819765051581,0.0034011397762482853,0.017635255524783334,390
Collections,GPT-5.1,Higher citation,-0.008756505309481506,-0.014817880756645321,-0.0026951298623176913,408
Collections,GPT-5.1,Empirical vs theory,-0.01316848861439078,-0.031193526832737874,0.004856549603956314,270
Collections,GPT-5.1,More recent paper,-0.005911829871665847,-0.011679531135364008,-0.00014412860796768432,407
Collections,GPT-5.1,Biology journals,0.013917323164844047,-0.0015212545632670264,0.02935590089295512,716
Collections,GPT-5.1,Psychology journals,0.012001067845736367,-0.006215442134334403,0.030217577825807137,716
Collections,GPT-5.1,Math/Physics journals,-0.036653834823560244,-0.055225415012649916,-0.018082254634470572,716
Collections,GPT-5.1,Multidisciplinary journals,-0.01637138230490468,-0.03382203570329505,0.0010792710934856842,716
Collections,GPT-5.1,Larger collection size,0.002281275369832042,-0.0015109665100020977,0.0060735172496661815,716
Collections,GPT-5 Mini,Higher journal impact,0.009549538114029912,0.003460778288823594,0.01563829793923623,390
Collections,GPT-5 Mini,Higher citation,-0.006609253951280675,-0.010654683186554704,-0.0025638247160066447,408
Collections,GPT-5 Mini,Empirical vs theory,-0.01712943895261822,-0.030925549838570827,-0.0033333280666656123,270
Collections,GPT-5 Mini,More recent paper,0.002449039721519918,-0.0014941177201815464,0.006392197163221383,407
Collections,GPT-5 Mini,Biology journals,0.012717474939109661,0.0023600142484342373,0.023074935629785083,716
Collections,GPT-5 Mini,Psychology journals,0.007086033718546303,-0.0061039088739989825,0.020275976311091588,716
Collections,GPT-5 Mini,Math/Physics journals,-0.014300806899714072,-0.029539965830868854,0.0009383520314407111,716
Collections,GPT-5 Mini,Multidisciplinary journals,-0.004683525046086633,-0.017394805790879084,0.008027755698705816,716
Collections,GPT-5 Mini,Larger collection size,0.00511845727702231,0.0019336367339413034,0.008303277820103316,716
Collections,GPT-5 Nano,Higher journal impact,0.009205170480840755,0.0038616868696290923,0.014548654092052417,390
Collections,GPT-5 Nano,Higher citation,-0.0031487532308387437,-0.006987716796846231,0.0006902103351687436,408
Collections,GPT-5 Nano,Empirical vs theory,-0.012141416772523702,-0.025753375695142997,0.001470542150095594,270
Collections,GPT-5 Nano,More recent paper,-0.004167216396453896,-0.0075006797590881375,-0.000833753033819655,407
Collections,GPT-5 Nano,Biology journals,0.0028520009922219686,-0.011172336694047704,0.016876338678491642,716
Collections,GPT-5 Nano,Psychology journals,0.007607758417432853,-0.005159266285212504,0.020374783120078212,716
Collections,GPT-5 Nano,Math/Physics journals,-0.016746836453428435,-0.029711770339675737,-0.003781902567181134,716
Collections,GPT-5 Nano,Multidisciplinary journals,-0.008599552020715688,-0.02009223999508898,0.002893135953657604,716
Collections,GPT-5 Nano,Larger collection size,0.007797994134014525,0.005023637568244771,0.01057235069978428,716
