scope,model,metric,term,term_group,term_value,term_label,coefficient,stderr,pvalue,nobs,r2,adj_r2,model_label
model,GPT-5.1,correlation_gain,"C(discipline_value, Treatment(reference='ANY'))[T.bio_evo]",discipline_value,bio_evo,discipline=bio_evo,0.0034858270277356,0.0084507806933675,0.6801109602201767,716,0.1140262708855456,0.0859001207549279,GPT-5.1
model,GPT-4.1,correlation_gain,"C(type_value, Treatment(reference='ANY'))[T.theoretical]",type_value,theoretical,type=theoretical,0.0230564598313805,0.005640074409798,4.8624278062266017e-05,715,0.2003834669783437,0.1749621321134934,GPT-4.1
model,GPT-4.1 Mini,correlation_gain,"C(type_value, Treatment(reference='ANY'))[T.theoretical]",type_value,theoretical,type=theoretical,0.0178331541905053,0.00511775287073,0.0005239622227074,716,0.2291249867132155,0.2046527640691906,GPT-4.1 Mini
model,GPT-5 Mini,correlation_gain,"C(type_value, Treatment(reference='ANY'))[T.theoretical]",type_value,theoretical,type=theoretical,0.0075380258250656,0.0056852976890016,0.1853161134859222,716,0.0859333896242913,0.0569154019933163,GPT-5 Mini
model,GPT-5 Nano,correlation_gain,"C(type_value, Treatment(reference='ANY'))[T.theoretical]",type_value,theoretical,type=theoretical,0.001296752233127,0.005212120584017,0.8035926732253484,716,0.1146977371190746,0.0865929033768229,GPT-5 Nano
model,GPT-5.1,correlation_gain,"C(type_value, Treatment(reference='ANY'))[T.theoretical]",type_value,theoretical,type=theoretical,0.0125321214770687,0.0074300081385459,0.0921130077759106,716,0.1140262708855456,0.0859001207549279,GPT-5.1
model,GPT-4.1,correlation_gain,"C(year_value, Treatment(reference='ANY'))[T.Q2]",year_value,Q2,year=Q2,0.0145642902707249,0.0057859443553727,0.0120545126184921,715,0.2003834669783437,0.1749621321134934,GPT-4.1
model,GPT-4.1 Mini,correlation_gain,"C(year_value, Treatment(reference='ANY'))[T.Q2]",year_value,Q2,year=Q2,0.0126112126858919,0.0052479749509067,0.0165202425618729,716,0.2291249867132155,0.2046527640691906,GPT-4.1 Mini
model,GPT-5 Mini,correlation_gain,"C(year_value, Treatment(reference='ANY'))[T.Q2]",year_value,Q2,year=Q2,0.0133711458249755,0.0058299610422713,0.0221164074664426,716,0.0859333896242913,0.0569154019933163,GPT-5 Mini
model,GPT-5 Nano,correlation_gain,"C(year_value, Treatment(reference='ANY'))[T.Q2]",year_value,Q2,year=Q2,0.0076893777549777,0.0053447438664862,0.1506925892921204,716,0.1146977371190746,0.0865929033768229,GPT-5 Nano
model,GPT-5.1,correlation_gain,"C(year_value, Treatment(reference='ANY'))[T.Q2]",year_value,Q2,year=Q2,0.0067118294077124,0.0076190659418378,0.3786635576238093,716,0.1140262708855456,0.0859001207549279,GPT-5.1
