CONFIG_configId,CONFIG_playerCount,CONFIG_numRounds,CONFIG_showNRounds,CONFIG_endowment,CONFIG_multiplier,CONFIG_allOrNothing,CONFIG_chat,CONFIG_defaultContribProp,CONFIG_punishmentExists,CONFIG_punishmentCost,CONFIG_punishmentMagnitude,CONFIG_rewardExists,CONFIG_rewardCost,CONFIG_rewardMagnitude,CONFIG_showOtherSummaries,CONFIG_showPunishmentId,CONFIG_showRewardId,CONFIG_contributionDuration,CONFIG_outcomeDuration,CONFIG_summaryDuration,CONFIG_basePay,CONFIG_conversionRate,CONFIG_treatmentName,CONFIG_punishmentTech,CONFIG_MPCR,CONFIG_scaledPunishmentCost,CONFIG_MPCR_adjusted,CONFIG_rewardTech,efficiency_p,efficiency_np
95,2,29,False,20,1.1,True,False,0,True,4,6.0,True,4,3.0,False,True,True,45,45,45,2.9,300,95_T,1.5,0.55,0.2,0.55,0.75,1.0,0.9984326018808778
97,15,21,True,20,10.0,True,False,0,True,3,9.0,True,3,4.0,False,False,False,45,45,45,2.1,300,97_T,3.0,0.67,0.15,0.67,1.33,0.7931587301587302,0.7525
98,16,8,False,20,5.4,False,False,0,True,4,16.0,True,4,4.0,True,False,False,45,45,45,0.8,300,98_T,4.0,0.34,0.2,0.34,1.0,0.7191358024691358,0.7950617283950617
99,11,30,True,20,5.0,True,True,1,True,1,2.0,False,1,1.0,False,True,True,45,45,45,3.0,300,99_T,2.0,0.45,0.05,0.5,1.0,0.7982666666666667,0.8755151515151515
100,9,2,True,20,4.9,False,False,1,True,2,3.0,True,2,2.0,True,False,False,45,45,45,0.2,300,100_T,1.5,0.54,0.1,0.54,1.0,0.738095238095238,0.7766439909297052
101,19,23,False,20,4.3,True,True,0,True,4,10.0,False,4,3.0,False,True,True,45,45,45,2.3,300,101_T,2.5,0.23,0.2,0.23,0.75,0.7933940006740816,0.9691801139060277
102,12,11,True,20,7.4,False,True,0,True,3,10.0,False,3,2.0,True,True,True,45,45,45,1.1,300,102_T,3.33,0.62,0.15,0.62,0.67,0.8992024811696943,0.7158067158067158
103,4,18,False,20,1.3,True,False,1,True,2,4.0,True,2,3.0,False,False,False,45,45,45,1.8,300,103_T,2.0,0.32,0.1,0.32,1.5,0.5924145299145299,0.8824786324786325
104,6,5,True,20,2.2,True,False,1,True,3,5.0,False,3,4.0,True,False,False,45,45,45,0.5,300,104_T,1.67,0.37,0.15,0.37,1.33,0.6151515151515151,0.6515151515151515
105,12,27,False,20,5.8,False,True,0,True,2,8.0,True,2,2.0,False,True,True,45,45,45,2.7,300,105_T,4.0,0.48,0.1,0.48,1.0,0.961004397130294,0.974194275411314
106,19,14,True,20,3.8,True,True,0,True,1,3.0,True,1,1.0,True,True,True,45,45,45,1.4,300,106_T,3.0,0.2,0.05,0.2,1.0,0.8870201820340324,0.9552411363135872
107,7,22,False,20,3.9,False,False,1,True,4,5.0,False,4,5.0,False,False,False,45,45,45,2.2,300,107_T,1.25,0.56,0.2,0.56,1.25,0.986097236097236,0.7597456743798208
108,9,10,False,20,5.9,True,True,1,True,3,7.0,True,3,2.0,True,True,True,45,45,45,1.0,300,108_T,2.33,0.66,0.15,0.66,0.67,0.9706214689265537,0.7382297551789078
109,17,17,True,20,1.9,False,False,0,True,1,3.0,False,1,1.0,False,False,False,45,45,45,1.7,300,109_T,3.0,0.11,0.05,0.13,1.0,0.6267056530214425,0.7342306147047006
110,14,4,False,20,5.8,True,False,0,True,2,6.0,False,2,3.0,True,False,False,45,45,45,0.4,300,110_T,3.0,0.41,0.1,0.41,1.5,0.7524630541871922,0.7944557133198107
112,3,3,False,20,1.9,True,True,1,True,1,4.0,False,1,1.0,False,False,False,45,45,45,0.3,300,112_T,4.0,0.63,0.05,0.63,1.0,1.0,0.7397660818713451
113,13,25,True,20,2.4,False,False,0,True,4,9.0,True,4,6.0,True,True,True,45,45,45,2.5,300,113_T,2.25,0.18,0.2,0.18,1.5,0.558076923076923,0.966585497835498
114,17,9,False,20,8.7,True,False,0,True,3,5.0,True,3,3.0,False,True,True,45,45,45,0.9,300,114_T,1.67,0.51,0.15,0.51,1.0,0.8655623168807755,0.7068965517241379
116,7,15,True,20,2.5,True,False,1,True,2,7.0,True,2,2.0,False,True,True,45,45,45,1.5,300,116_T,3.5,0.36,0.1,0.36,1.0,0.8311392405063291,0.8813333333333333
117,20,22,False,20,8.8,False,True,0,True,3,6.0,False,3,2.0,True,False,False,45,45,45,2.2,300,117_T,2.0,0.44,0.15,0.44,0.67,0.908755165289256,0.8227897999130055
118,12,6,True,20,1.2,True,True,0,True,4,4.0,False,4,3.0,False,False,False,45,45,45,0.6,300,118_T,1.0,0.1,0.2,0.11,0.75,0.7765151515151515,0.9537037037037036
119,6,27,False,20,4.2,False,False,1,True,2,6.0,True,2,3.0,True,True,True,45,45,45,2.7,300,119_T,3.0,0.7,0.1,0.7,1.5,0.803424456202234,0.8855085243974132
120,5,11,True,20,2.3,False,False,1,True,4,10.0,False,4,5.0,False,True,True,45,45,45,1.1,300,120_T,2.5,0.46,0.2,0.46,1.25,0.6710775047258979,0.91501976284585
121,13,19,False,20,4.9,True,True,0,True,1,1.0,True,1,1.0,True,False,False,45,45,45,1.9,300,121_T,1.0,0.38,0.05,0.38,1.0,0.9453505251472974,0.8823873299319728
122,18,2,True,20,11.3,False,True,0,True,2,4.0,True,2,1.0,False,False,False,45,45,45,0.2,300,122_T,2.0,0.63,0.1,0.63,0.5,0.7168141592920353,0.7470290771175726
123,8,24,False,20,1.5,True,False,1,True,3,10.0,False,3,4.0,True,True,True,45,45,45,2.4,300,123_T,3.33,0.19,0.15,0.21,1.33,0.0496031746031746,0.8247672253258845
124,10,7,False,20,2.3,False,True,1,True,3,10.0,True,3,2.0,False,False,False,45,45,45,0.7,300,124_T,3.33,0.23,0.15,0.26,0.67,0.9057971014492756,0.8906832298136648
125,16,29,True,20,9.2,True,False,0,True,2,3.0,False,2,2.0,True,True,True,45,45,45,2.9,300,125_T,1.5,0.57,0.1,0.57,1.0,0.877723876725122,0.7273191993112355
126,15,13,False,20,4.0,False,False,0,True,1,2.0,False,1,1.0,False,True,True,45,45,45,1.3,300,126_T,2.0,0.27,0.05,0.27,1.0,0.6467420212765957,0.5329166666666667
127,3,20,True,20,1.7,True,True,1,True,3,12.0,True,3,3.0,True,False,False,45,45,45,2.0,300,127_T,4.0,0.57,0.15,0.57,1.0,1.0,0.8936274509803922
128,3,4,False,20,1.3,True,True,1,True,2,3.0,True,2,2.0,False,False,False,45,45,45,0.4,300,128_T,1.5,0.43,0.1,0.43,1.0,0.75,1.0
129,15,26,True,20,7.8,False,False,0,True,4,11.0,False,4,5.0,True,True,True,45,45,45,2.6,300,129_T,2.75,0.52,0.2,0.52,1.25,0.7970142602495544,0.6120808678500986
130,16,9,False,20,2.6,True,False,0,True,3,10.0,False,3,4.0,False,True,True,45,45,45,0.9,300,130_T,3.33,0.16,0.15,0.16,1.33,0.5803952991452992,0.7176434676434676
131,10,17,True,20,5.9,False,True,1,True,2,5.0,True,2,1.0,True,False,False,45,45,45,1.7,300,131_T,2.5,0.59,0.1,0.59,0.5,0.8301595214356929,0.9384346959122633
133,18,21,False,20,1.2,False,True,0,True,3,9.0,True,3,2.0,True,False,False,45,45,45,2.1,300,133_T,3.0,0.07,0.15,0.07,0.67,0.8882882882882883,0.903293918918919
134,13,5,True,20,5.9,True,True,0,True,4,15.0,True,4,4.0,False,False,False,45,45,45,0.5,300,134_T,3.75,0.45,0.2,0.45,1.0,0.8869621903520208,0.8944530046224961
135,5,27,False,20,2.0,False,False,1,True,1,2.0,False,1,1.0,True,True,True,45,45,45,2.7,300,135_T,2.0,0.4,0.05,0.4,1.0,0.7,0.8344444444444444
136,6,10,True,20,1.3,False,False,1,True,3,7.0,True,3,4.0,False,True,True,45,45,45,1.0,300,136_T,2.33,0.22,0.15,0.22,1.33,0.7865384615384615,0.925
137,11,18,False,20,6.9,True,True,0,True,1,3.0,False,1,1.0,True,False,False,45,45,45,1.8,300,137_T,3.0,0.63,0.05,0.63,1.0,0.9853242570633874,0.9037842190016104
138,20,1,True,20,7.5,False,True,0,True,2,5.0,False,2,1.0,False,False,False,45,45,45,0.1,300,138_T,2.5,0.38,0.1,0.39,0.5,0.6357894736842106,0.7166666666666667
139,7,24,False,20,3.1,True,False,1,True,3,4.0,True,3,3.0,True,True,True,45,45,45,2.4,300,139_T,1.33,0.44,0.15,0.52,1.0,0.7855062724014337,0.6812275985663082
140,10,8,False,20,5.0,False,True,1,True,3,6.0,False,3,2.0,False,False,False,45,45,45,0.8,300,140_T,2.0,0.5,0.15,0.5,0.67,0.8515,0.969
141,18,29,True,20,4.7,True,False,0,True,2,8.0,True,2,2.0,True,True,True,45,45,45,2.9,300,141_T,4.0,0.26,0.1,0.29,1.0,0.7172030364588902,0.763729769048918
143,3,20,True,20,1.2,True,True,1,True,4,5.0,False,4,3.0,True,False,False,45,45,45,2.0,300,143_T,1.25,0.4,0.2,0.4,0.75,0.9944444444444444,0.8805555555555555
144,4,12,False,20,2.0,False,True,1,True,2,8.0,True,2,2.0,True,True,True,45,45,45,1.2,300,144_T,4.0,0.5,0.1,0.5,1.0,0.790625,0.85625
145,14,20,True,20,4.8,True,False,0,True,3,6.0,False,3,4.0,False,False,False,45,45,45,2.0,300,145_T,2.0,0.34,0.15,0.4,1.33,0.6387962962962963,0.9163690476190476
146,17,7,False,20,11.3,False,False,0,True,3,4.0,False,3,4.0,True,False,False,45,45,45,0.7,300,146_T,1.33,0.66,0.15,0.66,1.33,0.7975756674351155,0.6687365211571353
147,9,29,True,20,1.2,True,True,1,True,2,6.0,True,2,1.0,False,True,True,45,45,45,2.9,300,147_T,3.0,0.13,0.1,0.15,0.5,0.9859756097560975,0.9022988505747126
148,7,3,True,20,1.6,False,False,1,True,1,3.0,False,1,1.0,True,False,False,45,45,45,0.3,300,148_T,3.0,0.23,0.05,0.23,1.0,0.7976190476190477,0.875
152,4,6,True,20,2.4,True,False,1,True,3,9.0,True,3,4.0,True,False,False,45,45,45,0.6,300,152_T,3.0,0.6,0.15,0.6,1.33,0.8090277777777778,0.9210069444444444
154,19,15,True,20,8.9,True,True,0,True,2,4.0,False,2,1.0,True,True,True,45,45,45,1.5,300,154_T,2.0,0.47,0.1,0.47,0.5,0.853144096195545,0.6482209737827715
156,11,9,False,20,4.0,True,True,1,True,4,11.0,False,4,3.0,True,True,True,45,45,45,0.9,300,156_T,2.75,0.36,0.2,0.4,0.75,0.7291666666666666,0.9842171717171716
159,2,25,True,20,1.4,False,True,1,True,3,11.0,False,3,2.0,False,True,True,45,45,45,2.5,300,159_T,3.67,0.7,0.15,0.7,0.67,0.9335714285714286,0.9992857142857144
160,2,10,True,20,1.3,True,False,0,True,1,4.0,True,1,1.0,True,True,True,45,45,45,1.0,300,160_T,4.0,0.65,0.05,0.65,1.0,0.8653846153846154,0.9884615384615384
162,16,5,True,20,9.6,True,True,1,True,3,3.0,False,3,4.0,True,False,False,45,45,45,0.5,300,162_T,1.0,0.6,0.15,0.6,1.33,0.7634320175438597,0.6649305555555556
163,11,26,False,20,1.9,False,False,0,True,2,6.0,True,2,2.0,False,True,True,45,45,45,2.6,300,163_T,3.0,0.17,0.1,0.19,1.0,0.6986962819893772,0.6859835759611795
165,18,27,True,20,12.1,False,False,1,True,3,7.0,True,3,2.0,False,True,True,45,45,45,2.7,300,165_T,2.33,0.67,0.15,0.67,0.67,0.8220925080429212,0.7930263270000852
