custom_id,n_lab_rows,n_varied_params
10.1016_j.neuroimage.2019.06.047,3,0
10.1016_j.obhdp.2012.06.007,4,0
10.1016_j.socec.2011.04.001,7,0
10.1016_j.socec.2015.12.002,4,0
10.1016_j.socec.2018.09.006,4,0
10.1016_j.socec.2023.102081,3,0
10.1016_j.ssresearch.2018.12.012,4,0
10.1037_npe0000099,5,0
10.1037_pspi0000389,1,0
10.1038_s41467-024-49779-9,9,0
10.1038_s41598-017-11580-8,3,0
10.1038_s41598-020-67757-1,9,0
10.1038_s41598-021-88663-0,3,0
10.1038_s41598-021-89675-6,4,0
10.1038_s41598-024-71106-x,4,0
10.1073_pnas.0710069105,2,0
10.1073_pnas.0908855106,2,0
10.1080_00220388.2012.693169,2,0
10.1080_00220485.2018.1551097,1,0
10.1080_15534510.2019.1641147,3,0
10.1086_699547,7,0
10.1093_sf_sot015,5,0
10.1098_rstb.2008.0275,4,0
10.1111_ajps.12139,4,0
10.1111_ecin.12477,5,0
10.1111_ecin.12713,5,0
10.1111_geer.12103,1,0
10.1111_j.1467-9779.2010.01472.x,4,0
10.1111_jels.12042,8,0
10.1111_jems.12570,4,0
10.1111_jopy.12896,3,0
10.1111_jpet.12384,4,0
10.1111_jssr.12045,3,0
10.1126_sciadv.aau7296,10,0
10.1177_0022002708322361,4,0
10.1177_0022002714560349,8,0
10.1177_0022002714564426,6,0
10.1177_0146167216629123,7,0
10.1177_0190272519882389,4,0
10.1177_1948550614527115,2,0
10.1257_aer.90.4.980,4,0
10.1257_mic.20180336,6,0
10.1257_mic.6.1.290,2,0
10.1287_mnsc.2013.1848,6,0
10.1371_journal.pone.0017044,6,0
10.1371_journal.pone.0044747,3,0
10.1371_journal.pone.0061458,16,0
10.1371_journal.pone.0085691,1,0
10.1371_journal.pone.0175472,3,0
10.1371_journal.pone.0248599,4,0
10.1523_jneurosci.0595-16.2016,16,0
10.1523_jneurosci.1642-12.2013,4,0
10.1628_093245607780182008,2,0
10.3389_fnhum.2013.00252,12,0
10.3389_fpsyg.2018.01865,5,0
10.3390_su12198175,4,0
